,유튜버,월,term
341,Kongsueni콩슈니,2022/11,146.0
342,Kongsueni콩슈니,2022/12,133.0
343,Kongsueni콩슈니,2023/01,133.0
344,Kongsueni콩슈니,2023/02,133.0
345,Kongsueni콩슈니,2023/03,133.0
346,Kongsueni콩슈니,2023/04,133.0
347,Kongsueni콩슈니,2023/05,133.0
348,Kongsueni콩슈니,2023/06,133.0
349,Kongsueni콩슈니,2023/07,175.0
350,Kongsueni콩슈니,2023/08,115.0
351,krystal수정,2022/08,79.0
352,krystal수정,2022/09,90.0
353,krystal수정,2022/10,79.0
354,krystal수정,2022/11,54.0
355,krystal수정,2022/12,54.0
356,krystal수정,2023/01,54.0
357,krystal수정,2023/02,45.0
358,krystal수정,2023/03,45.0
359,krystal수정,2023/04,45.0
360,krystal수정,2023/05,38.0
361,krystal수정,2023/06,38.0
362,krystal수정,2023/07,30.0
363,krystal수정,2023/08,30.0
364,Laila라일라,2022/08,182.0
365,Laila라일라,2022/09,72.0
366,Laila라일라,2022/10,72.0
367,Laila라일라,2022/11,72.0
368,Laila라일라,2022/12,72.0
369,Laila라일라,2023/01,72.0
370,Laila라일라,2023/02,36.0
371,Laila라일라,2023/03,36.0
372,Laila라일라,2023/04,36.0
373,Laila라일라,2023/05,36.0
374,Laila라일라,2023/06,36.0
375,Laila라일라,2023/07,36.0
376,Laila라일라,2023/08,36.0
377,lamuqe,2022/08,19.0
378,lamuqe,2022/09,19.0
379,lamuqe,2022/10,18.0
380,lamuqe,2022/11,18.0
381,lamuqe,2022/12,21.0
382,lamuqe,2023/01,27.0
383,lamuqe,2023/02,28.0
384,lamuqe,2023/03,33.0
385,lamuqe,2023/04,39.0
386,lamuqe,2023/05,33.0
387,lamuqe,2023/06,33.0
388,lamuqe,2023/07,33.0
389,lamuqe,2023/08,28.0
403,lasagesse지혜,2022/08,19.0
404,lasagesse지혜,2022/09,18.0
405,lasagesse지혜,2022/10,18.0
406,lasagesse지혜,2022/11,18.0
407,lasagesse지혜,2022/12,18.0
408,lasagesse지혜,2023/01,23.0
409,lasagesse지혜,2023/02,23.0
410,lasagesse지혜,2023/03,24.0
411,lasagesse지혜,2023/04,26.0
412,lasagesse지혜,2023/05,28.0
413,lasagesse지혜,2023/06,27.0
414,lasagesse지혜,2023/07,28.0
415,lasagesse지혜,2023/08,28.0
416,LUCY루씨,2022/08,7.0
417,LUCY루씨,2022/09,7.0
418,LUCY루씨,2022/10,7.0
419,LUCY루씨,2022/11,8.0
420,LUCY루씨,2022/12,7.0
421,LUCY루씨,2023/01,6.0
422,LUCY루씨,2023/02,6.0
423,LUCY루씨,2023/03,6.0
424,LUCY루씨,2023/04,7.0
425,LUCY루씨,2023/05,6.0
426,LUCY루씨,2023/06,6.0
427,LUCY루씨,2023/07,6.0
428,LUCY루씨,2023/08,6.0
429,moodin은송,2022/08,25.0
430,moodin은송,2022/09,23.0
431,moodin은송,2022/10,23.0
432,moodin은송,2022/11,20.0
433,moodin은송,2022/12,19.0
434,moodin은송,2023/01,19.0
435,moodin은송,2023/02,15.0
436,moodin은송,2023/03,10.0
437,moodin은송,2023/04,10.0
438,moodin은송,2023/05,9.0
439,moodin은송,2023/06,9.0
440,moodin은송,2023/07,8.0
441,moodin은송,2023/08,7.0
455,Ood 오드,2022/08,12.0
456,Ood 오드,2022/09,11.0
457,Ood 오드,2022/10,11.0
458,Ood 오드,2022/11,11.0
459,Ood 오드,2022/12,10.0
460,Ood 오드,2023/01,10.0
461,Ood 오드,2023/02,9.0
462,Ood 오드,2023/03,9.0
463,Ood 오드,2023/04,9.0
464,Ood 오드,2023/05,10.0
465,Ood 오드,2023/06,10.0
466,Ood 오드,2023/07,9.0
467,Ood 오드,2023/08,9.0
468,Ori오리의소비로그,2022/08,6.0
469,Ori오리의소비로그,2022/09,6.0
470,Ori오리의소비로그,2022/10,7.0
471,Ori오리의소비로그,2022/11,7.0
472,Ori오리의소비로그,2022/12,9.0
473,Ori오리의소비로그,2023/01,9.0
474,Ori오리의소비로그,2023/02,9.0
475,Ori오리의소비로그,2023/03,9.0
476,Ori오리의소비로그,2023/04,9.0
477,Ori오리의소비로그,2023/05,11.0
478,Ori오리의소비로그,2023/06,11.0
479,Ori오리의소비로그,2023/07,11.0
480,Ori오리의소비로그,2023/08,10.0
481,Queen Solmee,2022/08,11.0
482,Queen Solmee,2022/09,11.0
483,Queen Solmee,2022/10,11.0
484,Queen Solmee,2022/11,10.0
485,Queen Solmee,2022/12,10.0
486,Queen Solmee,2023/01,11.0
487,Queen Solmee,2023/02,11.0
488,Queen Solmee,2023/03,13.0
489,Queen Solmee,2023/04,14.0
490,Queen Solmee,2023/05,16.0
491,Queen Solmee,2023/06,16.0
492,Queen Solmee,2023/07,17.0
493,Queen Solmee,2023/08,15.0
507,SELFCARE 결,2022/08,11.0
508,SELFCARE 결,2022/09,12.0
509,SELFCARE 결,2022/10,13.0
510,SELFCARE 결,2022/11,14.0
511,SELFCARE 결,2022/12,15.0
512,SELFCARE 결,2023/01,15.0
513,SELFCARE 결,2023/02,16.0
514,SELFCARE 결,2023/03,20.0
515,SELFCARE 결,2023/04,21.0
516,SELFCARE 결,2023/05,22.0
517,SELFCARE 결,2023/06,22.0
518,SELFCARE 결,2023/07,22.0
519,SELFCARE 결,2023/08,23.0
520,So Young,2022/08,33.0
521,So Young,2022/09,30.0
522,So Young,2022/10,19.0
523,So Young,2022/11,21.0
524,So Young,2022/12,21.0
525,So Young,2023/01,22.0
526,So Young,2023/02,19.0
527,So Young,2023/03,27.0
528,So Young,2023/04,27.0
529,So Young,2023/05,29.0
530,So Young,2023/06,32.0
531,So Young,2023/07,32.0
532,So Young,2023/08,31.0
533,SOLA솔아,2022/08,4.0
534,SOLA솔아,2022/09,4.0
535,SOLA솔아,2022/10,4.0
536,SOLA솔아,2022/11,4.0
537,SOLA솔아,2022/12,4.0
538,SOLA솔아,2023/01,4.0
539,SOLA솔아,2023/02,4.0
540,SOLA솔아,2023/03,4.0
541,SOLA솔아,2023/04,4.0
542,SOLA솔아,2023/05,4.0
543,SOLA솔아,2023/06,4.0
544,SOLA솔아,2023/07,4.0
545,SOLA솔아,2023/08,4.0
546,SOONSIKI,2022/08,26.0
547,SOONSIKI,2022/09,26.0
548,SOONSIKI,2022/10,31.0
549,SOONSIKI,2022/11,18.0
550,SOONSIKI,2022/12,13.0
551,SOONSIKI,2023/01,11.0
