,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수,채널명
72,초보 엄마아빠가 조리원을 가면 겪는 일 🤣 | 조리원 VLOG,https://www.youtube.com/watch?v=XsdY6ptncTw,5133,2023-02-04,0:15:21,110,Coco Riley
73,튼튼이와 처음 만나게된 날 | 출산VLOG,https://www.youtube.com/watch?v=tN6W4qnYWqg,7470,2023-01-28,0:23:19,195,Coco Riley
74,수다 GRWM 공포의 제왕절개 후기 🤗 앞으로의 방향성 고민!,https://www.youtube.com/watch?v=-naskAhfMEg,7784,2023-01-22,0:16:30,167,Coco Riley
75,내돈산💸 올리브영 꿀템만 모아서 풀메이크업 !!!!,https://www.youtube.com/watch?v=fyKXU9SDT3I,6272,2023-01-15,0:10:17,140,Coco Riley
76,2022 연말결산 참 잘~샀다 후회없는 소비템 💸,https://www.youtube.com/watch?v=TlosYouYVys,6748,2023-01-08,0:14:10,146,Coco Riley
77,"수다GRWM 임신,출산에 관한 나의 가치관이 변하게 된 스토리 😌",https://www.youtube.com/watch?v=L_m2MDuaEWQ,6821,2022-10-19,0:16:19,113,Coco Riley
78,말린 살구🍑 메이크업 + 초간단 깐달걀 베이스🥚쿠션만 들고와! (feat.수부지),https://www.youtube.com/watch?v=6q20vzFOLW0,7847,2022-10-07,0:12:49,170,Coco Riley
79,당신을 고급스럽게 만들어줄 메이크업 한끗차이 포인트 5가지!!!,https://www.youtube.com/watch?v=1zd9gxhN93s,10172,2022-10-01,0:12:30,345,Coco Riley
80,"경제를 알면, 유행이 보인다! '올드머니'는 OOOO 트렌드인 이유 | 쉽게 트렌디한 스타일 완성하는 4가지 방법 | 2023 가을 패션 트렌드",https://www.youtube.com/watch?v=mMFJr_oGa2o,54858,2023-08-27,0:09:51,806,COLIZET콜리젯TV
81,"꼭 멀리 떠나야만, 여름을 즐길 수 있는 건 아니니까 🏝️ / 서촌 맛집, 오에프알 서울 Ofr Seoul, 에이트디비젼 8DIVISION, 스태픽스 STAFF PICKS",https://www.youtube.com/watch?v=NZTTjTxyATs,6795,2023-08-06,0:10:40,123,COLIZET콜리젯TV
82,일본 여행 브이로그 VLOG / 맛집 추천 / 오모테산도 아오야마 쇼핑 / TOKYO 도쿄 넓은 숙소,https://www.youtube.com/watch?v=AaMzEe2jeMU,7775,2023-07-03,0:07:37,124,COLIZET콜리젯TV
83,"먹고 마시고 입어보고 신어보고 일도 하는 VLOG / 헌터 부츠, 유노이아, 틸테이블 화분, 홍제천 카페, 홍대 일본 라멘 멘야준 (feat. 유튜브 카메라 EOS R50)",https://www.youtube.com/watch?v=MUwQiFgJkzE,10863,2023-06-13,0:09:47,122,COLIZET콜리젯TV
84,11가지 아이템으로 완성하는 오래도록 고급스러운 여름 패션 스타일 | SUMMER CAPSULE WARDROBE 2023,https://www.youtube.com/watch?v=tB-sHLXfx74,52887,2023-06-06,0:36:58,725,COLIZET콜리젯TV
85,"카메라는 예쁘게 나오는게 최고! 가벼운 브이로그 vlog 카메라, 캐논 EOS R50 사용기",https://www.youtube.com/watch?v=z4EoZtaCukI,5797,2023-05-28,0:10:30,105,COLIZET콜리젯TV
86,"미리 여름 휴가 🏝️ P의 알찬 제주 여행 Vlog / 해변 필수템, 혼술 맛집, 제주도 포토 스팟, 흑돼지, 제주 공항 꿀팁 (feat. 유튜브카메라 EOS R50)",https://www.youtube.com/watch?v=B99azM1mqlE,8304,2023-05-27,0:35:35,115,COLIZET콜리젯TV
87,"여름부터 환절기까지! 활용도 높은 패션 아이템 11가지 / LOEWE, Tiffany & Co., Matin Kim, LE17SEPTEMBER, LEE, EAAH, Ayede",https://www.youtube.com/watch?v=ufktsMMAr44,38984,2023-05-15,0:32:35,490,COLIZET콜리젯TV
88,"잘 맞는 사이즈 찾기 어렵다면? 이렇게 해보세요~ / 출근룩, 하객룩, 결혼 예복 모두 다!",https://www.youtube.com/watch?v=QcZlfdB4xfQ,12341,2023-05-11,0:19:25,294,COLIZET콜리젯TV
89,"지속가능한 패션, 정말 가능한가요? with 패션 디자이너 이옥선",https://www.youtube.com/watch?v=nDVG5xzTnQY,2720,2023-05-06,0:22:06,77,COLIZET콜리젯TV
90,스트라이프 티셔츠의 정석! 세인트 제임스 Saint James | 유튜브 LIVE 쇼핑 예고 | 4월 26일 수요일 저녁 8시,https://www.youtube.com/watch?v=e3KMgm-z1J0,3533,2023-04-24,0:00:44,57,COLIZET콜리젯TV
91,"4월의 야금템 | 야금야금 모은 패션 아이템 13가지 | 보테가베네타, 낫띵리튼, 마리떼 프랑소와 저버, 아모멘토, 흐꺙, 시엔느, 콜리젯 바이 오픈플랜",https://www.youtube.com/watch?v=x9HZTOExnTc,34513,2023-04-23,0:28:44,383,COLIZET콜리젯TV
92,"봄 코디 8가지! 출근룩, 데일리룩, 하객룩 모두 해결~ (구독자 이벤트🥳) / 이아 EAAH",https://www.youtube.com/watch?v=t9Xv6aQYHb4,22987,2023-03-29,0:15:11,291,COLIZET콜리젯TV
93,"봄 옷 코디의 비밀?! 이렇게 입으면 세련된 캐주얼 완성💕 | 출근룩, 휴양지룩 | 데렉 램 Derek Lam 10 Crosby",https://www.youtube.com/watch?v=mQ4S8cYtquE,22064,2023-03-25,0:14:03,278,COLIZET콜리젯TV
94,"쇼룸 예쁘기로 소문난 국내 브랜드 2가지 + 프렌치 카페/맛집 | 투티에, 킨더살몬, 팔발라 | 새로운 가방, 인생 감자튀김, 블라우스 맛집",https://www.youtube.com/watch?v=Sk8daodTQdk,22181,2023-03-11,0:16:39,282,COLIZET콜리젯TV
95,야금야금 모은 패션 아이템 6가지 | 3월의 야금템 | 봄 룩북 SPRING LOOKBOOK,https://www.youtube.com/watch?v=r3RNq8alI4M,34631,2023-03-06,0:25:22,370,COLIZET콜리젯TV
96,"2023 봄 신상품 미리 입어보기 | 더일마 THE ILMA, 리이 RE RHEE",https://www.youtube.com/watch?v=9GMn5KeCqwY,29204,2023-02-23,0:11:33,355,COLIZET콜리젯TV
97,봄 맞이 필수템! 네이비 자켓 하나로 돌려 입는 꿀팁 5가지 / How to Style a Navy Jacket,https://www.youtube.com/watch?v=Q53KoU5TshI,35763,2023-02-11,0:09:40,477,COLIZET콜리젯TV
98,"야금야금 모은 패션 아이템 | 자켓, 맨투맨, 스커트, 스웨터, 티셔츠, 운동화 | COLIZET by, DUNST, LOOKAST, COS, DECEMBER TEN, ADIDAS",https://www.youtube.com/watch?v=MLX7I6UNbOw,44474,2023-02-05,0:11:44,664,COLIZET콜리젯TV
99,'OO' 모르면 손해!! 2023년 봄/여름 패션 트렌드 : 경제가 바뀌면 패션도 바뀐다,https://www.youtube.com/watch?v=pB7EO1Reppw,203758,2023-01-27,0:17:42,4374,COLIZET콜리젯TV
100,"찐으로 잘 신고 있는 겨울 신발 10가지 / 부츠, 운동화, 털 슬리퍼 / 자라, 어그, 아디다스, 닥터마틴, 호카 오네오네, 아모멘토, 카렌화이트, 알도",https://www.youtube.com/watch?v=7rqOtGl7CWo,43170,2022-12-23,0:15:26,552,COLIZET콜리젯TV
101,"데일리 니트 모음.zip | 색감 예쁜 니트 추천 | 더일마, 코스, 메종 마르지엘라, H&M, COS, 매드고트 ,플랙, ZARA, 앳코너, 드마이어",https://www.youtube.com/watch?v=dILxYksdX0Q,42762,2022-12-20,0:10:59,608,COLIZET콜리젯TV
102,찐으로 잘 입고 있는 겨울 기본템 14가지 총정리 | 2022 겨울 캡슐옷장,https://www.youtube.com/watch?v=BXovIM_qK-M,40307,2022-12-16,0:16:30,655,COLIZET콜리젯TV
103,"나만 알고 싶은 겨울 아이템 6가지 | 인사일런스, 마리떼 프랑소와 저버, 더일마, 스탠다이얼, 캐피디자인",https://www.youtube.com/watch?v=PBWZRDFwlts,39681,2022-12-13,0:14:09,517,COLIZET콜리젯TV
104,"겨울 패딩 모음.zip / 숏패딩 & 롱패딩 13가지 리뷰 추천 / 탑텐, 노스페이스, 버버리, 나이키, 휠라, 자라, 스파오, 앤아더스토리즈",https://www.youtube.com/watch?v=OgO51mdJ87Y,83067,2022-12-09,0:14:21,888,COLIZET콜리젯TV
105,"요즘 패션의 성지, 성수동 Vlog EP.06 | 아더에러 X 자라, 루에브르, 논픽션, 아모레 성수, 밀리언 아카이브, 어그, 오스트카카, 쿠오카, 스웨덴 피크닉, 벱",https://www.youtube.com/watch?v=QariaNcrNqY,12270,2022-12-06,0:19:33,237,COLIZET콜리젯TV
106,"오~랫동안 새 옷처럼! 겨울 옷 관리하는 방법 총정리 | 면, 캐시미어, 실크, 운동복, 패딩, 코트 | LG 스타일러 오브제컬렉션",https://www.youtube.com/watch?v=yfNYBdzkhb0,35975,2022-11-30,0:11:15,215,COLIZET콜리젯TV
107,"오래 전부터 야금야금 모은 아이템 7가지 / 코트, 니트, 티셔츠, 재킷, 잠옷, 블레이저",https://www.youtube.com/watch?v=fiGiiv45XEU,28463,2022-11-29,0:09:14,325,COLIZET콜리젯TV
108,"서울 브이로그 EP.04 | 한남동 편 | 써머레인, 에이치픽스, 비이커, 마리떼 프랑소와 저버, 페사드, 이아, 이악 크래프트, 스튜디오 콘크리트",https://www.youtube.com/watch?v=ZL8U7CZTi0A,16446,2022-11-22,0:18:18,279,COLIZET콜리젯TV
109,"따뜻한 겨울 코디 아이템 7가지 / 패딩, 후드, 가죽 자켓, 머플러, 니트 집업, 양말, 슬리퍼",https://www.youtube.com/watch?v=_tUMXGP4wQc,67889,2022-11-18,0:11:23,411,COLIZET콜리젯TV
110,자주(JAJU)에서 찐템 찾아왔습니다 / 추천템 언박싱 + 구독자 이벤트 🎁 #웰니스 #친환경뷰티 #비건화장품,https://www.youtube.com/watch?v=CiXkOdn9ef4,50535,2022-11-11,0:12:35,395,COLIZET콜리젯TV
111,"요즘 서울에서 제일 핫한 동네, 안국동에 다녀 왔습니다 / 콜리젯 서울 Vlog EP.03",https://www.youtube.com/watch?v=GwMcJLVsj7I,15199,2022-11-09,0:11:49,240,COLIZET콜리젯TV
112,"가을, 겨울, 봄 3계절 내내 활용하기 좋은 꿀템 6가지 / 원피스, 트렌치코트, 부츠, 맨투맨, 카디건, 운동화 / 10월의 야금템",https://www.youtube.com/watch?v=Ij-ilJIayPs,57938,2022-10-17,0:24:11,739,COLIZET콜리젯TV
113,니트 사기 전에 꼭 봐야 하는 영상! 🧶 가을/겨울 패션 스타일 7가지 | 코텔로(kotelo),https://www.youtube.com/watch?v=9dUtkmiWbco,30743,2022-10-12,0:13:09,479,COLIZET콜리젯TV
