,Unnamed: 0,유투버,월,연도,평균 조회수,평균 영상 좋아요 수,영상개수,구독자,구독자 성장율,감성점수,평균_영상간격,null_지속,충성시청자_비율,구독자점수,조회수점수,충성도점수
27,27,benny8282_nail,9,2022,2580.333333333333,67.33333333333333,3,70600.0,1.001418439716312,0.6018147945404053,10.0,0,0.1428571428571428,9.0,3.0,6.0
28,28,benny8282_nail,10,2022,1865.666666666667,62.0,3,70600.0,1.0,0.2302705744902292,8.0,0,0.0,9.0,3.0,2.0
29,29,benny8282_nail,11,2022,1775.0,56.0,1,70600.0,1.0,0.7072930335998535,,1,0.0,9.0,3.0,2.0
30,30,benny8282_nail,12,2022,1565.0,42.0,1,70600.0,1.0,0.6925055235624313,,2,0.0,9.0,3.0,2.0
31,31,benny8282_nail,1,2023,1644.0,59.0,1,70700.0,1.001416430594901,,,3,,9.0,3.0,0.0
32,32,benny8282_nail,2,2023,1843.0,63.0,1,70900.0,1.002828854314003,0.6727026104927063,,4,0.0,9.0,3.0,2.0
33,33,benny8282_nail,3,2023,1203.0,42.0,1,71000.0,1.001410437235543,0.4289426952600479,,5,0.0,9.0,3.0,2.0
34,34,benny8282_nail,4,2023,4507.0,131.5,2,71200.0,1.0028169014084507,0.7113052173094316,9.0,0,0.0,9.0,6.0,2.0
35,35,benny8282_nail,5,2023,2270.0,62.0,3,71200.0,1.0,0.608818851849612,7.0,0,0.1666666666666666,9.0,3.0,8.0
36,36,benny8282_nail,6,2023,1622.0,52.0,1,71400.0,1.002808988764045,0.9295851230621338,,1,0.0,9.0,3.0,2.0
37,37,benny8282_nail,7,2023,2448.0,71.0,1,71600.0,1.0028011204481793,0.5139888525009155,,2,0.0,9.0,3.0,2.0
38,38,benny8282_nail,8,2023,766.0,28.0,1,71800.0,1.0027932960893855,0.5643735975027084,,3,0.0,9.0,3.0,2.0
39,39,bird 정은,8,2022,,,0,35800.0,1.0028011204481793,,,2,,6.0,0.0,0.0
40,40,bird 정은,9,2022,7116.8,185.0368,5,35900.0,1.0027932960893855,0.7891350037204828,5.5,0,0.1932773109243697,6.0,6.0,8.0
41,41,bird 정은,10,2022,13220.33333333333,343.7286666666666,3,35800.0,0.9972144846796658,0.81338258869946,10.5,0,0.2272727272727272,6.0,9.0,8.0
42,42,bird 정은,11,2022,8380.0,217.88,5,35800.0,1.0,0.7115783314799788,6.25,0,0.2156862745098039,6.0,9.0,8.0
43,43,bird 정은,12,2022,8070.0,209.82,1,35700.0,0.9972067039106144,0.7420555392901103,,1,0.0526315789473684,6.0,9.0,4.0
44,44,bird 정은,1,2023,6602.0,171.652,1,35600.0,0.9971988795518208,0.7248479657702975,,2,0.0,6.0,6.0,2.0
45,45,bird 정은,2,2023,10257.0,266.682,1,35500.0,0.9971910112359552,0.5134853422641754,,3,0.0,6.0,9.0,2.0
46,46,bird 정은,3,2023,19000.0,494.0,1,35600.0,1.0028169014084507,0.6238887702876871,,4,0.0,6.0,12.0,2.0
47,47,bird 정은,4,2023,8042.5,209.105,2,35600.0,1.0,0.6388945807428921,22.0,0,0.064516129032258,6.0,9.0,4.0
48,48,bird 정은,5,2023,6179.666666666667,160.6713333333333,3,36400.0,1.0224719101123596,0.5742742144442224,1.5,0,0.3181818181818182,6.0,6.0,10.0
49,49,bird 정은,6,2023,,,0,36500.0,1.0027472527472527,,,1,,6.0,0.0,0.0
50,50,bird 정은,7,2023,14879.0,386.854,1,36800.0,1.008219178082192,0.6085969521240755,,2,0.0,6.0,9.0,2.0
51,51,bird 정은,8,2023,8853.0,230.178,1,37100.0,1.0081521739130437,0.6329656308111937,,3,0.0,6.0,9.0,2.0
52,52,Coco Riley,8,2022,,,0,277000.0,0.9964028776978416,,,3,,15.0,0.0,0.0
53,53,Coco Riley,9,2022,,,0,277000.0,1.0,,,4,,15.0,0.0,0.0
54,54,Coco Riley,10,2022,8280.0,209.3333333333333,3,276000.0,0.9963898916967509,0.6639054937240405,9.0,0,0.1470588235294117,15.0,9.0,6.0
55,55,Coco Riley,11,2022,,,0,276000.0,1.0,,,1,,15.0,0.0,0.0
56,56,Coco Riley,12,2022,,,0,275000.0,0.9963768115942028,,,2,,15.0,0.0,0.0
57,57,Coco Riley,1,2023,7068.5,162.0,4,275000.0,1.0,0.7016308941048562,6.666666666666667,0,0.2203389830508474,15.0,6.0,8.0
58,58,Coco Riley,2,2023,4439.25,135.25,4,274000.0,0.9963636363636365,0.7454484924333825,7.0,0,0.2631578947368421,15.0,6.0,8.0
59,59,Coco Riley,3,2023,7216.0,137.75,4,273000.0,0.9963503649635036,0.7136573700441254,6.666666666666667,0,0.2285714285714285,15.0,6.0,8.0
60,60,Coco Riley,4,2023,6607.0,167.0,2,272000.0,0.9963369963369964,0.668493964165358,6.0,0,0.1578947368421052,15.0,6.0,8.0
61,61,Coco Riley,5,2023,12714.25,145.75,4,271000.0,0.9963235294117648,0.7348796768682677,6.666666666666667,0,0.125,15.0,9.0,6.0
62,62,Coco Riley,6,2023,3730.5,93.0,4,271000.0,1.0,0.6926645215514095,6.666666666666667,0,0.2702702702702703,15.0,6.0,8.0
63,63,Coco Riley,7,2023,10498.2,136.2,5,270000.0,0.996309963099631,0.6698608164517385,7.0,0,0.2181818181818181,15.0,9.0,8.0
64,64,Coco Riley,8,2023,3853.25,71.75,4,269000.0,0.9962962962962963,0.7465023227428135,7.333333333333333,0,0.1627906976744186,15.0,6.0,8.0
65,65,COLIZET콜리젯TV,8,2022,17737.33333333333,363.3333333333333,3,108000.0,1.0285714285714285,0.6924588509062504,11.5,0,0.1071428571428571,12.0,12.0,6.0
66,66,COLIZET콜리젯TV,9,2022,46511.0,552.6666666666666,3,110000.0,1.0185185185185186,0.7255385104566813,9.5,0,0.1,12.0,15.0,4.0
67,67,COLIZET콜리젯TV,10,2022,32574.33333333333,455.0,3,112000.0,1.018181818181818,0.7564216968340751,8.0,0,0.1438356164383561,12.0,12.0,6.0
68,68,COLIZET콜리젯TV,11,2022,35751.16666666666,310.8333333333333,6,112000.0,1.0,0.7080995538472589,4.2,0,0.12,12.0,15.0,6.0
69,69,COLIZET콜리젯TV,12,2022,43542.83333333334,576.1666666666666,6,113000.0,1.0089285714285714,0.7504906301047692,3.4,0,0.1223021582733813,12.0,15.0,6.0
70,70,COLIZET콜리젯TV,1,2023,203758.0,4374.0,1,120000.0,1.0619469026548674,0.6918037018963139,,1,0.0,12.0,15.0,2.0
71,71,COLIZET콜리젯TV,2,2023,36480.33333333334,498.6666666666667,3,128000.0,1.0666666666666669,0.68611595954671,9.0,0,0.0789473684210526,12.0,15.0,4.0
72,72,COLIZET콜리젯TV,3,2023,25465.75,305.25,4,137000.0,1.0703125,0.5781545578702095,7.666666666666667,0,0.1285714285714285,12.0,12.0,6.0
73,73,COLIZET콜리젯TV,4,2023,19023.0,220.0,2,139000.0,1.0145985401459854,0.6319500910557383,1.0,0,0.025,12.0,12.0,2.0
74,74,COLIZET콜리젯TV,5,2023,13629.2,216.2,5,139000.0,1.0,0.682378809764737,5.5,0,0.1428571428571428,12.0,9.0,6.0
75,75,COLIZET콜리젯TV,6,2023,31875.0,423.5,2,139000.0,1.0,0.6814411918744974,7.0,0,0.0769230769230769,12.0,12.0,4.0
76,76,COLIZET콜리젯TV,7,2023,7775.0,124.0,1,139000.0,1.0,0.7553038763649323,,1,0.0,12.0,9.0,2.0
77,77,COLIZET콜리젯TV,8,2023,30826.5,464.5,2,138000.0,0.9928057553956836,0.7244651781476062,21.0,0,0.1153846153846153,12.0,12.0,6.0
78,78,Coral코랄,8,2022,2470.0,60.0,2,3450.0,1.032934131736527,0.6746238783786171,20.0,0,0.1333333333333333,3.0,3.0,6.0
79,79,Coral코랄,9,2022,6940.0,72.0,2,3600.0,1.0434782608695652,0.6897724779943625,19.0,0,0.0526315789473684,3.0,6.0,4.0
80,80,Coral코랄,10,2022,2248.0,33.0,2,3800.0,1.0555555555555556,0.7073488384485245,9.0,0,0.0909090909090909,3.0,3.0,4.0
81,81,Coral코랄,11,2022,9287.0,152.0,1,3990.0,1.05,0.596969183195721,,1,0.0,3.0,9.0,2.0
82,82,Coral코랄,12,2022,4249.25,52.5,4,4130.0,1.0350877192982455,0.6689225846812838,6.0,0,0.2,3.0,6.0,8.0
83,83,Coral코랄,1,2023,2283.0,33.0,1,4310.0,1.0435835351089588,0.6049678139388561,,1,0.0,3.0,3.0,2.0
84,84,Coral코랄,2,2023,2267.0,38.0,1,4450.0,1.0324825986078887,0.6409969280163447,,2,0.0,3.0,3.0,2.0
85,85,Coral코랄,3,2023,2695.333333333333,45.66666666666666,3,4560.0,1.0247191011235954,0.5293252291157842,12.0,0,0.1538461538461538,3.0,3.0,6.0
86,86,Coral코랄,4,2023,2466.0,50.0,1,4660.0,1.0219298245614037,0.5430105053461515,,1,0.0,3.0,3.0,2.0
87,87,Coral코랄,5,2023,1507.0,31.5,2,4720.0,1.0128755364806867,0.7796803911526998,18.0,0,0.2222222222222222,3.0,3.0,8.0
88,88,Coral코랄,6,2023,2278.0,44.5,2,4790.0,1.0148305084745763,0.5703559815883636,14.0,0,0.1333333333333333,3.0,3.0,6.0
89,89,Coral코랄,7,2023,1898.5,39.0,2,4840.0,1.010438413361169,0.527958995103836,19.0,0,0.1428571428571428,3.0,3.0,6.0
90,90,Coral코랄,8,2023,1691.5,34.5,2,4910.0,1.0144628099173554,0.5764844447374344,22.0,0,0.125,3.0,3.0,6.0
91,91,DAISY 데이지,8,2022,82603.0,1074.0,5,529000.0,0.9962335216572504,0.7313313767215475,5.5,0,0.0934579439252336,15.0,15.0,4.0
92,92,DAISY 데이지,9,2022,35151.5,800.0,2,529000.0,1.0,0.5280137243649817,27.0,0,0.0684931506849315,15.0,15.0,4.0
93,93,DAISY 데이지,10,2022,95798.0,2280.0,3,528000.0,0.998109640831758,0.7473047163297478,9.0,0,0.0485436893203883,15.0,15.0,4.0
94,94,DAISY 데이지,11,2022,29731.0,447.6666666666667,3,527000.0,0.9981060606060606,0.8009119516309303,5.5,0,0.0574468085106383,15.0,12.0,4.0
95,95,DAISY 데이지,12,2022,28817.5,540.25,4,525000.0,0.9962049335863378,0.7791718151606886,6.0,0,0.1129032258064516,15.0,12.0,6.0
96,96,DAISY 데이지,1,2023,16200.5,472.0,2,523000.0,0.9961904761904762,0.6697344416752458,11.0,0,0.0526315789473684,15.0,12.0,4.0
97,97,DAISY 데이지,2,2023,58818.0,902.3333333333334,3,523000.0,1.0,0.6649153796904678,7.0,0,0.0925925925925925,15.0,15.0,4.0
98,98,DAISY 데이지,3,2023,36678.6,436.6,5,521000.0,0.9961759082217974,0.7964199966947797,5.25,0,0.1157894736842105,15.0,15.0,6.0
99,99,DAISY 데이지,4,2023,71331.75,2557.75,4,522000.0,1.0019193857965452,0.6983539299249385,4.333333333333333,0,0.0461538461538461,15.0,15.0,2.0
100,100,DAISY 데이지,5,2023,27911.0,245.0,1,522000.0,1.0,0.7044073723513504,,1,0.0526315789473684,15.0,12.0,4.0
101,101,DAISY 데이지,6,2023,24424.66666666667,451.0,3,520000.0,0.9961685823754788,0.5803441553346572,9.5,0,0.0512820512820512,15.0,12.0,4.0
102,102,DAISY 데이지,7,2023,21095.0,381.6,5,519000.0,0.9980769230769232,0.7038585983391912,3.0,0,0.1293103448275862,15.0,12.0,6.0
103,103,DAISY 데이지,8,2023,,,0,517000.0,0.9961464354527938,,,1,,15.0,0.0,0.0
104,104,DrDr,8,2022,,,0,2890.0,0.993127147766323,,,13,,3.0,0.0,0.0
105,105,DrDr,9,2022,,,0,2890.0,1.0,,,14,,3.0,0.0,0.0
106,106,DrDr,10,2022,,,0,2890.0,1.0,,,15,,3.0,0.0,0.0
107,107,DrDr,11,2022,,,0,2890.0,1.0,,,16,,3.0,0.0,0.0
108,108,DrDr,12,2022,,,0,2880.0,0.9965397923875432,,,17,,3.0,0.0,0.0
109,109,DrDr,1,2023,4496.0,23.5,2,2860.0,0.9930555555555556,0.6015146940946579,13.0,0,0.0,3.0,6.0,2.0
110,110,DrDr,2,2023,,,0,2850.0,0.9965034965034965,,,1,,3.0,0.0,0.0
111,111,DrDr,3,2023,,,0,2850.0,1.0,,,2,,3.0,0.0,0.0
112,112,DrDr,4,2023,,,0,2840.0,0.9964912280701754,,,3,,3.0,0.0,0.0
113,113,DrDr,5,2023,,,0,2840.0,1.0,,,4,,3.0,0.0,0.0
114,114,DrDr,6,2023,,,0,2820.0,0.9929577464788732,,,5,,3.0,0.0,0.0
115,115,DrDr,7,2023,,,0,2820.0,1.0,,,6,,3.0,0.0,0.0
116,116,DrDr,8,2023,,,0,2810.0,0.99645390070922,,,7,,3.0,0.0,0.0
117,117,"hello,jiyoung안녕하신지영",8,2022,,,0,54300.0,0.9945054945054944,,,1,,9.0,0.0,0.0
118,118,"hello,jiyoung안녕하신지영",9,2022,2556.333333333333,52.0,3,54000.0,0.994475138121547,0.5641045556827025,7.5,0,0.1428571428571428,9.0,3.0,6.0
119,119,"hello,jiyoung안녕하신지영",10,2022,6576.0,165.0,1,53600.0,0.9925925925925926,0.5411051298890796,,1,0.0,9.0,6.0,2.0
120,120,"hello,jiyoung안녕하신지영",11,2022,12460.0,105.3333333333333,3,53600.0,1.0,0.7938589935793596,3.5,0,0.0909090909090909,9.0,9.0,4.0
121,121,"hello,jiyoung안녕하신지영",12,2022,2974.25,50.75,4,53500.0,0.9981343283582088,0.6473402996857961,7.333333333333333,0,0.0769230769230769,9.0,6.0,4.0
122,122,"hello,jiyoung안녕하신지영",1,2023,2446.5,49.5,2,53100.0,0.9925233644859812,0.8114817804760404,7.0,0,0.1428571428571428,9.0,3.0,6.0
123,123,"hello,jiyoung안녕하신지영",2,2023,2181.0,45.0,1,53000.0,0.9981167608286252,0.8755407532056173,,1,0.0,9.0,3.0,2.0
124,124,"hello,jiyoung안녕하신지영",3,2023,1953.5,50.75,4,52800.0,0.9962264150943396,0.8037319810359509,8.333333333333334,0,0.0317460317460317,9.0,3.0,2.0
125,125,"hello,jiyoung안녕하신지영",4,2023,6758.0,78.941675668075,3,52500.0,0.9943181818181818,0.7195084845197612,7.0,0,0.0909090909090909,9.0,6.0,4.0
126,126,"hello,jiyoung안녕하신지영",5,2023,12098.5,127.0,4,52400.0,0.998095238095238,0.4812909476459026,9.666666666666666,0,0.0333333333333333,9.0,9.0,2.0
127,127,"hello,jiyoung안녕하신지영",6,2023,,,0,52300.0,0.9980916030534353,,,1,,9.0,0.0,0.0
128,128,"hello,jiyoung안녕하신지영",7,2023,2566.666666666667,48.66666666666666,6,52100.0,0.9961759082217974,0.7276954391728276,5.6,0,0.3478260869565217,9.0,3.0,10.0
129,129,"hello,jiyoung안녕하신지영",8,2023,1642.75,43.75,4,51900.0,0.9961612284069098,0.7207092732191086,7.333333333333333,0,0.1818181818181818,9.0,3.0,8.0
130,130,HYEBBEUM혜쁨,8,2022,6464.0,100.0,1,85900.0,0.9988372093023256,0.4777485832571983,,1,0.0,9.0,6.0,2.0
131,131,HYEBBEUM혜쁨,9,2022,,,0,85800.0,0.9988358556461,,,2,,9.0,0.0,0.0
132,132,HYEBBEUM혜쁨,10,2022,,,0,85600.0,0.9976689976689976,,,3,,9.0,0.0,0.0
133,133,HYEBBEUM혜쁨,11,2022,,,0,85500.0,0.9988317757009346,,,4,,9.0,0.0,0.0
134,134,HYEBBEUM혜쁨,12,2022,,,0,85300.0,0.9976608187134502,,,5,,9.0,0.0,0.0
135,135,HYEBBEUM혜쁨,1,2023,5212.5,87.5,2,85000.0,0.9964830011723328,0.6640085666440427,9.0,0,0.064516129032258,9.0,6.0,4.0
136,136,HYEBBEUM혜쁨,2,2023,3866.0,67.0,1,84800.0,0.9976470588235294,0.6963395944663456,,1,0.0,9.0,6.0,2.0
137,137,HYEBBEUM혜쁨,3,2023,4421.0,72.0,1,84600.0,0.9976415094339622,0.7725105925152699,,2,0.0,9.0,6.0,2.0
138,138,HYEBBEUM혜쁨,4,2023,,,0,84500.0,0.9988179669030732,,,3,,9.0,0.0,0.0
139,139,HYEBBEUM혜쁨,5,2023,3294.0,50.0,1,84300.0,0.9976331360946744,0.6616789575885323,,4,0.0,9.0,6.0,2.0
140,140,HYEBBEUM혜쁨,6,2023,2652.0,46.0,1,84100.0,0.9976275207591934,0.7235659580020344,,5,0.0,9.0,3.0,2.0
141,141,HYEBBEUM혜쁨,7,2023,3210.0,86.0,1,83900.0,0.9976218787158144,0.6967206218025901,,6,0.0,9.0,6.0,2.0
142,142,HYEBBEUM혜쁨,8,2023,2105.0,34.0,1,83700.0,0.99761620977354,0.7189982596671942,,7,0.0,9.0,3.0,2.0
143,143,Jaelimize재림,8,2022,24419.0,197.6,5,53800.0,1.005607476635514,0.738402850140119,6.25,0,0.1256038647342995,9.0,12.0,6.0
144,144,Jaelimize재림,9,2022,10094.83333333333,118.0,6,53700.0,0.9981412639405204,0.716307936851027,5.8,0,0.1485148514851485,9.0,9.0,6.0
145,145,Jaelimize재림,10,2022,3405.166666666667,50.83333333333334,6,53600.0,0.9981378026070764,0.598934247932936,4.0,0,0.2291666666666666,9.0,6.0,8.0
146,146,Jaelimize재림,11,2022,4091.666666666667,37.16666666666666,6,53600.0,1.0,0.7283454533712364,4.0,0,0.2121212121212121,9.0,6.0,8.0
147,147,Jaelimize재림,12,2022,3634.0,43.0,6,53500.0,0.9981343283582088,0.7301297271123497,5.8,0,0.1842105263157894,9.0,6.0,8.0
148,148,Jaelimize재림,1,2023,2971.0,56.2,5,53700.0,1.0037383177570094,0.7727987019272594,5.75,0,0.2093023255813953,9.0,6.0,8.0
149,149,Jaelimize재림,2,2023,2613.0,45.33333333333334,3,53700.0,1.0,0.6742695646626609,11.5,0,0.2105263157894736,9.0,3.0,8.0
150,150,Jaelimize재림,3,2023,6821.857142857143,58.71428571428572,7,53700.0,1.0,0.5540333137028199,5.0,0,0.1956521739130435,9.0,6.0,8.0
151,151,Jaelimize재림,4,2023,10854.42857142857,157.2857142857143,7,53800.0,1.0018621973929236,0.5543845593929291,4.166666666666667,0,0.1973684210526315,9.0,9.0,8.0
152,152,Jaelimize재림,5,2023,10296.83333333333,96.5,6,54000.0,1.003717472118959,0.766775822744188,4.2,0,0.0952380952380952,9.0,9.0,4.0
153,153,Jaelimize재림,6,2023,5171.0,66.5,8,54000.0,1.0,0.6441436040441733,4.142857142857143,0,0.2,9.0,6.0,8.0
154,154,Jaelimize재림,7,2023,4075.0,55.0,7,54100.0,1.0018518518518518,0.7079733289351129,4.0,0,0.1506849315068493,9.0,6.0,6.0
155,155,Jaelimize재림,8,2023,4303.857142857143,53.28571428571428,7,54100.0,1.0,0.6857690321007356,3.666666666666667,0,0.1927710843373494,9.0,6.0,8.0
156,156,jang.hope장호프,8,2022,10636.0,67.0,4,2810.0,1.0144404332129964,0.7143645476678322,6.666666666666667,0,0.0612244897959183,3.0,9.0,4.0
157,157,jang.hope장호프,9,2022,4477.0,86.0,1,2860.0,1.01779359430605,0.6510293098057017,,1,0.0,3.0,6.0,2.0
158,158,jang.hope장호프,10,2022,11999.0,166.0,1,2910.0,1.0174825174825175,0.7728811383247376,,2,0.0,3.0,9.0,2.0
159,159,jang.hope장호프,11,2022,8364.0,60.5,2,2970.0,1.0206185567010309,0.6635835918615449,15.0,0,0.0344827586206896,3.0,9.0,2.0
160,160,jang.hope장호프,12,2022,12522.0,406.0,4,3210.0,1.0808080808080809,0.6501146309375763,6.0,0,0.0821917808219178,3.0,9.0,4.0
161,161,jang.hope장호프,1,2023,2578.0,24.0,2,3230.0,1.0062305295950156,0.4812471866607666,4.0,0,0.0,3.0,3.0,2.0
162,162,jang.hope장호프,2,2023,396.0,10.0,1,3250.0,1.0061919504643964,0.6485142310460409,,1,0.0,3.0,3.0,2.0
163,163,jang.hope장호프,3,2023,2693.666666666667,20.0,3,3280.0,1.0092307692307692,0.4788524111111958,8.0,0,0.0,3.0,3.0,2.0
164,164,jang.hope장호프,4,2023,,,0,3320.0,1.0121951219512195,,,1,,3.0,0.0,0.0
165,165,jang.hope장호프,5,2023,1039.0,18.0,1,3400.0,1.0240963855421688,0.4676895886659622,,2,0.0,3.0,3.0,2.0
166,166,jang.hope장호프,6,2023,357.5,9.5,2,3450.0,1.0147058823529411,0.6487261801958084,3.0,0,0.0,3.0,3.0,2.0
167,167,jang.hope장호프,7,2023,,,0,3580.0,1.03768115942029,,,1,,3.0,0.0,0.0
168,168,jang.hope장호프,8,2023,1008.0,13.0,1,3690.0,1.0307262569832405,0.2951889634132385,,2,0.0,3.0,3.0,2.0
169,169,jella젤라,8,2022,41948.33333333334,571.0,3,850000.0,0.9976525821596244,0.7108664872535204,3.5,0,0.1071428571428571,15.0,15.0,6.0
170,170,jella젤라,9,2022,113304.25,1564.25,4,849000.0,0.9988235294117648,0.6687816033145592,9.333333333333334,0,0.0188679245283018,15.0,15.0,2.0
171,171,jella젤라,10,2022,25205.75,379.0,4,847000.0,0.9976442873969376,0.6435591834615991,5.333333333333333,0,0.0714285714285714,15.0,12.0,4.0
172,172,jella젤라,11,2022,80368.0,742.0,2,846000.0,0.998819362455726,0.6878299009604533,21.0,0,0.1052631578947368,15.0,15.0,6.0
173,173,jella젤라,12,2022,43884.5,543.25,4,846000.0,1.0,0.6130737305883273,9.0,0,0.0862068965517241,15.0,15.0,4.0
174,174,jella젤라,1,2023,25074.0,235.0,1,844000.0,0.9976359338061466,0.9733162720998128,,1,0.0,15.0,12.0,2.0
175,175,jella젤라,2,2023,33682.5,480.5,2,844000.0,1.0,0.6931933535930307,9.0,0,0.1219512195121951,15.0,12.0,6.0
176,176,jella젤라,3,2023,30131.71428571429,353.4285714285714,7,843000.0,0.9988151658767772,0.6926326007235284,4.833333333333333,0,0.0625,15.0,12.0,4.0
177,177,jella젤라,4,2023,34518.0,317.0,1,842000.0,0.9988137603795968,0.7532060253620148,,1,0.0,15.0,15.0,2.0
178,178,jella젤라,5,2023,29685.66666666667,268.6666666666667,3,841000.0,0.998812351543943,0.6183044676269803,6.0,0,0.1025641025641025,15.0,12.0,6.0
179,179,jella젤라,6,2023,30852.33333333333,314.6666666666667,3,840000.0,0.9988109393579072,0.7730550773172493,10.5,0,0.0919540229885057,15.0,12.0,4.0
180,180,jella젤라,7,2023,42342.5,341.5,2,839000.0,0.9988095238095238,0.5497883867696335,26.0,0,0.024390243902439,15.0,15.0,2.0
181,181,jella젤라,8,2023,36856.5,290.0,2,838000.0,0.99880810488677,0.6415998468605372,24.0,0,0.1034482758620689,15.0,15.0,6.0
182,182,JJUDRE쭈드레,8,2022,586.6666666666666,15.0,3,5660.0,1.014336917562724,0.5332567691802979,0.0,0,0.0,3.0,3.0,2.0
183,183,JJUDRE쭈드레,9,2022,2230.0,59.0,1,5790.0,1.0229681978798586,0.4473140835762024,,1,0.0,3.0,3.0,2.0
184,184,JJUDRE쭈드레,10,2022,,,0,6050.0,1.044905008635579,,,2,,3.0,0.0,0.0
185,185,JJUDRE쭈드레,11,2022,,,0,6220.0,1.028099173553719,,,3,,3.0,0.0,0.0
186,186,JJUDRE쭈드레,12,2022,,,0,6300.0,1.0128617363344052,,,4,,3.0,0.0,0.0
187,187,JJUDRE쭈드레,1,2023,,,0,6360.0,1.0095238095238095,,,5,,3.0,0.0,0.0
188,188,JJUDRE쭈드레,2,2023,,,0,6420.0,1.009433962264151,,,6,,3.0,0.0,0.0
189,189,JJUDRE쭈드레,3,2023,,,0,6430.0,1.0015576323987538,,,7,,3.0,0.0,0.0
190,190,JJUDRE쭈드레,4,2023,,,0,6450.0,1.0031104199066874,,,8,,3.0,0.0,0.0
191,191,JJUDRE쭈드레,5,2023,,,0,6470.0,1.0031007751937984,,,9,,3.0,0.0,0.0
192,192,JJUDRE쭈드레,6,2023,,,0,6460.0,0.9984544049459042,,,10,,3.0,0.0,0.0
193,193,JJUDRE쭈드레,7,2023,,,0,6460.0,1.0,,,11,,3.0,0.0,0.0
194,194,JJUDRE쭈드레,8,2023,,,0,6480.0,1.0030959752321982,,,12,,3.0,0.0,0.0
195,195,jjuE쭈이,8,2022,33477.25,579.5,4,120000.0,1.0526315789473684,0.7428889203970479,4.0,0,0.15,12.0,12.0,6.0
196,196,jjuE쭈이,9,2022,56033.0,1343.0,4,129000.0,1.075,0.7983922862206785,6.333333333333333,0,0.1261261261261261,12.0,15.0,6.0
