Unnamed: 0,유투버,월,댓글 수,영상 수,감성점수
70,COLIZET콜리젯TV,2023/01,97.0,1.0,0.8531455644929422
71,COLIZET콜리젯TV,2023/02,83.0,3.0,0.5986381893189962
72,COLIZET콜리젯TV,2023/03,83.0,4.0,0.5151098966598511
73,COLIZET콜리젯TV,2023/04,41.0,2.0,0.5898863898544777
74,COLIZET콜리젯TV,2023/05,94.0,5.0,0.7006749534216083
75,COLIZET콜리젯TV,2023/06,43.0,2.0,0.551334429505869
76,COLIZET콜리젯TV,2023/07,12.0,1.0,0.8122351160820793
77,COLIZET콜리젯TV,2023/08,28.0,2.0,0.8334584308707196
78,Coral코랄,2022/08,17.0,2.0,0.7575433097387615
79,Coral코랄,2022/09,20.0,2.0,0.5283250572780768
80,Coral코랄,2022/10,12.0,2.0,0.5498490120683398
81,Coral코랄,2022/11,21.0,1.0,0.6257151067256927
82,Coral코랄,2022/12,18.0,4.0,0.5740560193856558
83,Coral코랄,2023/01,8.0,1.0,0.7739149853587151
84,Coral코랄,2023/02,6.0,1.0,0.42593471705913544
85,Coral코랄,2023/03,29.0,3.0,0.6008057305589318
86,Coral코랄,2023/04,12.0,1.0,0.5506530381166018
87,Coral코랄,2023/05,11.0,2.0,0.6791687369346618
88,Coral코랄,2023/06,17.0,2.0,0.6817719448696483
89,Coral코랄,2023/07,24.0,2.0,0.575452390909195
90,Coral코랄,2023/08,9.0,2.0,0.803563317656517
91,DAISY 데이지,2022/08,121.0,5.0,0.5203262971146918
92,DAISY 데이지,2022/09,76.0,2.0,0.7672609671062192
93,DAISY 데이지,2022/10,211.0,3.0,0.8030677703074637
94,DAISY 데이지,2022/11,499.0,3.0,0.7923125438675096
95,DAISY 데이지,2022/12,140.0,4.0,0.8338911795991344
96,DAISY 데이지,2023/01,39.0,2.0,0.8003077838303787
97,DAISY 데이지,2023/02,61.0,3.0,0.6653687089955042
98,DAISY 데이지,2023/03,107.0,5.0,0.6360736541764836
99,DAISY 데이지,2023/04,410.0,4.0,0.750078570717329
100,DAISY 데이지,2023/05,20.0,1.0,0.49517322819808435
101,DAISY 데이지,2023/06,82.0,3.0,0.6092453193280005
102,DAISY 데이지,2023/07,139.0,5.0,0.6922347549935146
103,DAISY 데이지,2023/08,0.0,0.0,
104,DrDr,2022/08,0.0,0.0,
105,DrDr,2022/09,0.0,0.0,
106,DrDr,2022/10,0.0,0.0,
107,DrDr,2022/11,0.0,0.0,
108,DrDr,2022/12,0.0,0.0,
109,DrDr,2023/01,14.0,2.0,0.5346461355686187
110,DrDr,2023/02,0.0,0.0,
111,DrDr,2023/03,0.0,0.0,
112,DrDr,2023/04,0.0,0.0,
113,DrDr,2023/05,0.0,0.0,
114,DrDr,2023/06,0.0,0.0,
115,DrDr,2023/07,0.0,0.0,
116,DrDr,2023/08,0.0,0.0,
117,Hazel하정,2022/08,0.0,0.0,
118,Hazel하정,2022/09,0.0,0.0,
119,Hazel하정,2022/10,0.0,0.0,
120,Hazel하정,2022/11,0.0,0.0,
121,Hazel하정,2022/12,0.0,0.0,
122,Hazel하정,2023/01,14.0,1.0,0.674814843079623
123,Hazel하정,2023/02,5.0,1.0,0.7672740618387858
124,Hazel하정,2023/03,1.0,1.0,0.5774534940719604
125,Hazel하정,2023/04,0.0,0.0,
126,Hazel하정,2023/05,0.0,0.0,
127,Hazel하정,2023/06,0.0,0.0,
128,Hazel하정,2023/07,0.0,0.0,
129,Hazel하정,2023/08,0.0,0.0,
130,"hello,jiyoung안녕하신지영",2022/08,0.0,0.0,
131,"hello,jiyoung안녕하신지영",2022/09,16.0,3.0,0.7316892106424678
132,"hello,jiyoung안녕하신지영",2022/10,6.0,1.0,0.674504109791347
133,"hello,jiyoung안녕하신지영",2022/11,24.0,3.0,0.7494585224810768
134,"hello,jiyoung안녕하신지영",2022/12,14.0,4.0,0.7611612876256307
135,"hello,jiyoung안녕하신지영",2023/01,8.0,2.0,0.7739706999725766
136,"hello,jiyoung안녕하신지영",2023/02,6.0,1.0,0.8731870651245117
137,"hello,jiyoung안녕하신지영",2023/03,66.0,4.0,0.9167933278269582
138,"hello,jiyoung안녕하신지영",2023/04,24.0,3.0,0.7820220260784544
139,"hello,jiyoung안녕하신지영",2023/05,31.0,4.0,0.7962816188281233
140,"hello,jiyoung안녕하신지영",2023/06,0.0,0.0,
141,"hello,jiyoung안녕하신지영",2023/07,37.0,6.0,0.6888998461806256
142,"hello,jiyoung안녕하신지영",2023/08,26.0,4.0,0.6793125957250595
143,HYEBBEUM혜쁨,2022/08,22.0,1.0,0.5781823893388113
144,HYEBBEUM혜쁨,2022/09,0.0,0.0,
145,HYEBBEUM혜쁨,2022/10,0.0,0.0,
146,HYEBBEUM혜쁨,2022/11,0.0,0.0,
147,HYEBBEUM혜쁨,2022/12,0.0,0.0,
148,HYEBBEUM혜쁨,2023/01,32.0,2.0,0.5977698406204581
149,HYEBBEUM혜쁨,2023/02,10.0,1.0,0.77528906081404
150,HYEBBEUM혜쁨,2023/03,17.0,1.0,0.6539522583285967
151,HYEBBEUM혜쁨,2023/04,0.0,0.0,
152,HYEBBEUM혜쁨,2023/05,14.0,1.0,0.6860721251543831
153,HYEBBEUM혜쁨,2023/06,17.0,1.0,0.749297138522653
154,HYEBBEUM혜쁨,2023/07,15.0,1.0,0.5865798231327173
155,HYEBBEUM혜쁨,2023/08,11.0,1.0,0.8073108286568613
156,Jaelimize재림,2022/08,240.0,5.0,0.6093537546112202
157,Jaelimize재림,2022/09,122.0,6.0,0.5593236507893783
158,Jaelimize재림,2022/10,63.0,6.0,0.6347510654675333
159,Jaelimize재림,2022/11,44.0,6.0,0.5660080471892416
160,Jaelimize재림,2022/12,51.0,6.0,0.6631601686759662
161,Jaelimize재림,2023/01,59.0,5.0,0.7135974846102975
162,Jaelimize재림,2023/02,22.0,3.0,0.8041302646909442
163,Jaelimize재림,2023/03,57.0,7.0,0.5992948065574905
164,Jaelimize재림,2023/04,96.0,7.0,0.7746002320596512
165,Jaelimize재림,2023/05,207.0,6.0,0.5553021524346939
166,Jaelimize재림,2023/06,136.0,8.0,0.5531351556246346
167,Jaelimize재림,2023/07,94.0,7.0,0.7085121672624236
168,Jaelimize재림,2023/08,113.0,7.0,0.5479934833527822
169,jang.hope장호프,2022/08,55.0,4.0,0.8034221429763169
170,jang.hope장호프,2022/09,30.0,1.0,0.7592252028339049
171,jang.hope장호프,2022/10,3.0,1.0,0.8479795396327973
172,jang.hope장호프,2022/11,30.0,2.0,0.7330284129898503
173,jang.hope장호프,2022/12,80.0,4.0,0.7325902101993561
174,jang.hope장호프,2023/01,2.0,2.0,0.7269443273544312
175,jang.hope장호프,2023/02,3.0,1.0,0.6973710159460703
176,jang.hope장호프,2023/03,3.0,3.0,0.9143131176630656
177,jang.hope장호프,2023/04,0.0,0.0,
178,jang.hope장호프,2023/05,2.0,1.0,0.17361295223236084
179,jang.hope장호프,2023/06,2.0,2.0,0.8786462843418121
180,jang.hope장호프,2023/07,0.0,0.0,
181,jang.hope장호프,2023/08,1.0,1.0,0.2798524796962738
182,jella젤라,2022/08,64.0,3.0,0.8152829814007727
183,jella젤라,2022/09,161.0,4.0,0.6838336752225924
184,jella젤라,2022/10,63.0,4.0,0.6592240288075673
185,jella젤라,2022/11,39.0,2.0,0.6526240840798518
186,jella젤라,2022/12,65.0,4.0,0.7233731295039625
187,jella젤라,2023/01,7.0,1.0,0.9392037987709045
188,jella젤라,2023/02,44.0,2.0,0.6007376447080929
189,jella젤라,2023/03,102.0,7.0,0.6300287814116945
190,jella젤라,2023/04,20.0,1.0,0.6498690631985664
191,jella젤라,2023/05,43.0,3.0,0.5809042504855565
192,jella젤라,2023/06,89.0,3.0,0.7565948814153671
193,jella젤라,2023/07,40.0,2.0,0.6565740748507077
194,jella젤라,2023/08,30.0,2.0,0.7203476632443758
195,JJUDRE쭈드레,2022/08,1.0,3.0,0.19528377056121826
196,JJUDRE쭈드레,2022/09,4.0,1.0,0.4977136105298996
197,JJUDRE쭈드레,2022/10,0.0,0.0,
198,JJUDRE쭈드레,2022/11,0.0,0.0,
199,JJUDRE쭈드레,2022/12,0.0,0.0,
200,JJUDRE쭈드레,2023/01,0.0,0.0,
201,JJUDRE쭈드레,2023/02,0.0,0.0,
202,JJUDRE쭈드레,2023/03,0.0,0.0,
203,JJUDRE쭈드레,2023/04,0.0,0.0,
204,JJUDRE쭈드레,2023/05,0.0,0.0,
205,JJUDRE쭈드레,2023/06,0.0,0.0,
206,JJUDRE쭈드레,2023/07,0.0,0.0,
207,JJUDRE쭈드레,2023/08,0.0,0.0,
208,jjuE쭈이,2022/08,141.0,4.0,0.7083465041228214
209,jjuE쭈이,2022/09,132.0,4.0,0.784120430390294
210,jjuE쭈이,2022/10,402.0,2.0,0.9048581666191724
211,jjuE쭈이,2022/11,339.0,5.0,0.7014312956302684
212,jjuE쭈이,2022/12,135.0,4.0,0.8265237922267038
213,jjuE쭈이,2023/01,162.0,4.0,0.6811068935657111
214,jjuE쭈이,2023/02,224.0,6.0,0.7421047385987334
215,jjuE쭈이,2023/03,115.0,5.0,0.7589420681908017
216,jjuE쭈이,2023/04,204.0,5.0,0.8174877444193477
217,jjuE쭈이,2023/05,134.0,4.0,0.8146160591274636
218,jjuE쭈이,2023/06,54.0,3.0,0.7894878259476493
219,jjuE쭈이,2023/07,74.0,2.0,0.8105039610978095
220,jjuE쭈이,2023/08,50.0,2.0,0.8591896132566035
221,Junsoo함준수,2022/08,556.0,16.0,0.6305475226065642
222,Junsoo함준수,2022/09,473.0,17.0,0.6456734740961301
223,Junsoo함준수,2022/10,489.0,16.0,0.636731254713047
224,Junsoo함준수,2022/11,538.0,14.0,0.6456858347987104
225,Junsoo함준수,2022/12,231.0,5.0,0.5260383170883671
226,Junsoo함준수,2023/01,185.0,3.0,0.6475607588426354
227,Junsoo함준수,2023/02,248.0,6.0,0.6181978284373997
228,Junsoo함준수,2023/03,394.0,6.0,0.46259418010220593
229,Junsoo함준수,2023/04,132.0,4.0,0.5932911419054298
230,Junsoo함준수,2023/05,109.0,3.0,0.7051605970799169
231,Junsoo함준수,2023/06,91.0,2.0,0.5283526655324956
232,Junsoo함준수,2023/07,145.0,5.0,0.6897701756812813
233,Junsoo함준수,2023/08,161.0,6.0,0.6205013903704557
234,juyeomi,2022/08,0.0,0.0,
235,juyeomi,2022/09,34.0,3.0,0.7577353939414024
236,juyeomi,2022/10,145.0,5.0,0.44627696770955533
237,juyeomi,2022/11,13.0,2.0,0.7038003711989431
238,juyeomi,2022/12,30.0,1.0,0.5051109972927306
239,juyeomi,2023/01,78.0,2.0,0.5415694920616295
240,juyeomi,2023/02,75.0,3.0,0.6846203537129644
241,juyeomi,2023/03,127.0,4.0,0.5730487637705617
242,juyeomi,2023/04,61.0,3.0,0.5757588942845663
243,juyeomi,2023/05,158.0,3.0,0.5683972934788393
244,juyeomi,2023/06,144.0,4.0,0.6984517003599162
245,juyeomi,2023/07,148.0,4.0,0.7370310895601098
246,juyeomi,2023/08,117.0,4.0,0.6089266778079704
247,KINGSTON킹스턴,2022/08,81.0,2.0,0.5996416331743805
248,KINGSTON킹스턴,2022/09,119.0,4.0,0.5743664440095
249,KINGSTON킹스턴,2022/10,68.0,2.0,0.6781064559751591
250,KINGSTON킹스턴,2022/11,527.0,4.0,0.6118506020288063
251,KINGSTON킹스턴,2022/12,82.0,2.0,0.6302539588505687
252,KINGSTON킹스턴,2023/01,224.0,4.0,0.636160958587654
253,KINGSTON킹스턴,2023/02,108.0,2.0,0.6754292256832123
254,KINGSTON킹스턴,2023/03,83.0,3.0,0.6615752624262363
255,KINGSTON킹스턴,2023/04,314.0,4.0,0.6160356546020156
256,KINGSTON킹스턴,2023/05,609.0,7.0,0.660268347717257
257,KINGSTON킹스턴,2023/06,128.0,3.0,0.5192415294459629
258,KINGSTON킹스턴,2023/07,47.0,1.0,0.7100553211569786
259,KINGSTON킹스턴,2023/08,163.0,1.0,0.6210765137053355
260,Kongsueni콩슈니,2022/08,4.0,1.0,0.6292167405287424
261,Kongsueni콩슈니,2022/09,4.0,1.0,0.8057634106704167
262,Kongsueni콩슈니,2022/10,0.0,0.0,
263,Kongsueni콩슈니,2022/11,0.0,0.0,
264,Kongsueni콩슈니,2022/12,0.0,0.0,
265,Kongsueni콩슈니,2023/01,0.0,0.0,
266,Kongsueni콩슈니,2023/02,0.0,0.0,
267,Kongsueni콩슈니,2023/03,0.0,0.0,
268,Kongsueni콩슈니,2023/04,0.0,0.0,
269,Kongsueni콩슈니,2023/05,0.0,0.0,
270,Kongsueni콩슈니,2023/06,0.0,0.0,
271,Kongsueni콩슈니,2023/07,0.0,0.0,
272,Kongsueni콩슈니,2023/08,9.0,2.0,0.8713018423632571
273,krystal수정,2022/08,0.0,0.0,
274,krystal수정,2022/09,0.0,0.0,
275,krystal수정,2022/10,68.0,2.0,0.7908285036304881
276,krystal수정,2022/11,0.0,0.0,
277,krystal수정,2022/12,27.0,1.0,0.7818969753053453
278,krystal수정,2023/01,0.0,0.0,
279,krystal수정,2023/02,30.0,1.0,0.744510888150244
280,krystal수정,2023/03,0.0,0.0,
281,krystal수정,2023/04,0.0,0.0,
282,krystal수정,2023/05,0.0,0.0,
283,krystal수정,2023/06,0.0,0.0,
284,krystal수정,2023/07,0.0,0.0,
285,krystal수정,2023/08,0.0,0.0,
286,Laila라일라,2022/08,0.0,0.0,
287,Laila라일라,2022/09,2.0,2.0,0.8196545839309692
288,Laila라일라,2022/10,0.0,0.0,
289,Laila라일라,2022/11,0.0,0.0,
290,Laila라일라,2022/12,0.0,0.0,
291,Laila라일라,2023/01,0.0,0.0,
292,Laila라일라,2023/02,7.0,2.0,0.6640610136091709
293,Laila라일라,2023/03,0.0,0.0,
294,Laila라일라,2023/04,0.0,0.0,
295,Laila라일라,2023/05,0.0,0.0,
296,Laila라일라,2023/06,0.0,0.0,
297,Laila라일라,2023/07,0.0,0.0,
298,Laila라일라,2023/08,0.0,0.0,
299,lamuqe,2022/08,0.0,0.0,
300,lamuqe,2022/09,0.0,0.0,
301,lamuqe,2022/10,959.0,2.0,0.6520268482346984
302,lamuqe,2022/11,0.0,1.0,
303,lamuqe,2022/12,0.0,2.0,
304,lamuqe,2023/01,0.0,1.0,
305,lamuqe,2023/02,0.0,0.0,
306,lamuqe,2023/03,0.0,0.0,
307,lamuqe,2023/04,117.0,3.0,0.5961895770304431
308,lamuqe,2023/05,0.0,0.0,
309,lamuqe,2023/06,0.0,0.0,
310,lamuqe,2023/07,0.0,0.0,
311,lamuqe,2023/08,161.0,2.0,0.7400993302313691
312,lasagesse지혜,2022/08,0.0,0.0,
313,lasagesse지혜,2022/09,170.0,3.0,0.7935357927976541
314,lasagesse지혜,2022/10,160.0,2.0,0.687683948250704
315,lasagesse지혜,2022/11,129.0,2.0,0.6856585024239181
316,lasagesse지혜,2022/12,106.0,1.0,0.7128582719800084
317,lasagesse지혜,2023/01,439.0,1.0,0.8356103716722015
318,lasagesse지혜,2023/02,0.0,0.0,
319,lasagesse지혜,2023/03,0.0,0.0,
320,lasagesse지혜,2023/04,0.0,0.0,
321,lasagesse지혜,2023/05,100.0,1.0,0.6852582859763101
322,lasagesse지혜,2023/06,151.0,2.0,0.6666033310022684
323,lasagesse지혜,2023/07,69.0,1.0,0.6701725967479556
324,lasagesse지혜,2023/08,0.0,0.0,
325,LUCY루씨,2022/08,150.0,5.0,0.7879234260353354
326,LUCY루씨,2022/09,157.0,7.0,0.7057775875384157
327,LUCY루씨,2022/10,192.0,4.0,0.7927198963661264
328,LUCY루씨,2022/11,103.0,3.0,0.7963299436421044
329,LUCY루씨,2022/12,327.0,4.0,0.7757297696477194
330,LUCY루씨,2023/01,329.0,6.0,0.8072464769134428
331,LUCY루씨,2023/02,69.0,3.0,0.8331324106963106
332,LUCY루씨,2023/03,241.0,4.0,0.8380469947358488
333,LUCY루씨,2023/04,278.0,4.0,0.7602864223784765
334,LUCY루씨,2023/05,140.0,6.0,0.8035334903780404
335,LUCY루씨,2023/06,170.0,3.0,0.7554618038850672
336,LUCY루씨,2023/07,236.0,9.0,0.6614245410270737
337,LUCY루씨,2023/08,77.0,3.0,0.8151231019513513
338,moodin은송,2022/08,27.0,3.0,0.7224456570718599
339,moodin은송,2022/09,118.0,3.0,0.7773351029651921
340,moodin은송,2022/10,36.0,1.0,0.7530435374597224
341,moodin은송,2022/11,52.0,3.0,0.7901526457071304
342,moodin은송,2022/12,26.0,2.0,0.7497599462293228
343,moodin은송,2023/01,43.0,2.0,0.698237988059638
344,moodin은송,2023/02,127.0,2.0,0.8074984220810878
345,moodin은송,2023/03,231.0,13.0,0.8274091060066822
346,moodin은송,2023/04,52.0,3.0,0.757185328877374
347,moodin은송,2023/05,56.0,3.0,0.7887184835306489
348,moodin은송,2023/06,24.0,2.0,0.7717749462571255
349,moodin은송,2023/07,87.0,5.0,0.844086294727666
350,moodin은송,2023/08,152.0,7.0,0.8280726395596086
351,Ood 오드,2022/08,48.0,3.0,0.7260878483454386
352,Ood 오드,2022/09,53.0,5.0,0.8270789596438408
353,Ood 오드,2022/10,43.0,3.0,0.7808329593176129
354,Ood 오드,2022/11,42.0,3.0,0.7818267787947799
355,Ood 오드,2022/12,40.0,3.0,0.6974012821480848
356,Ood 오드,2023/01,57.0,4.0,0.7441124216506355
357,Ood 오드,2023/02,61.0,4.0,0.7575645502656698
358,Ood 오드,2023/03,31.0,2.0,0.7244145715236664
359,Ood 오드,2023/04,57.0,3.0,0.6792442846298218
360,Ood 오드,2023/05,30.0,2.0,0.7202245724020582
361,Ood 오드,2023/06,46.0,2.0,0.6863001087519127
362,Ood 오드,2023/07,54.0,4.0,0.6532716090772667
363,Ood 오드,2023/08,58.0,4.0,0.7297888478943121
364,Ori오리의소비로그,2022/08,123.0,1.0,0.5778715295717121
365,Ori오리의소비로그,2022/09,187.0,4.0,0.7913508566629465
366,Ori오리의소비로그,2022/10,90.0,2.0,0.8646282331510023
367,Ori오리의소비로그,2022/11,37.0,2.0,0.6798787128768469
368,Ori오리의소비로그,2022/12,189.0,4.0,0.8149887959946666
369,Ori오리의소비로그,2023/01,0.0,0.0,
370,Ori오리의소비로그,2023/02,26.0,1.0,0.6445966086604379
371,Ori오리의소비로그,2023/03,74.0,5.0,0.6854979911917134
372,Ori오리의소비로그,2023/04,44.0,3.0,0.7632815863163966
373,Ori오리의소비로그,2023/05,81.0,4.0,0.6623835724333058
374,Ori오리의소비로그,2023/06,144.0,3.0,0.7290796731647692
375,Ori오리의소비로그,2023/07,22.0,2.0,0.5644422653244763
376,Ori오리의소비로그,2023/08,19.0,1.0,0.4776581290996436
377,Queen Solmee,2022/08,68.0,1.0,0.4825328035423389
378,Queen Solmee,2022/09,112.0,3.0,0.5782644843756084
379,Queen Solmee,2022/10,33.0,1.0,0.4528365829368917
380,Queen Solmee,2022/11,176.0,2.0,0.7078982775273613
381,Queen Solmee,2022/12,77.0,3.0,0.5907461471054184
382,Queen Solmee,2023/01,19.0,1.0,0.5322476103901863
383,Queen Solmee,2023/02,0.0,0.0,
384,Queen Solmee,2023/03,27.0,2.0,0.5488030617987668
385,Queen Solmee,2023/04,31.0,1.0,0.5748119482345748
386,Queen Solmee,2023/05,76.0,2.0,0.5699702071941505
387,Queen Solmee,2023/06,33.0,1.0,0.6164670406955562
388,Queen Solmee,2023/07,92.0,4.0,0.616614237266327
389,Queen Solmee,2023/08,93.0,3.0,0.6311084445641966
390,SELFCARE 결,2022/08,39.0,2.0,0.8257981805091209
391,SELFCARE 결,2022/09,11.0,1.0,0.7803829889143666
392,SELFCARE 결,2022/10,50.0,1.0,0.6547616974882831
393,SELFCARE 결,2022/11,63.0,1.0,0.8237346661942345
394,SELFCARE 결,2022/12,30.0,2.0,0.6288763688670265
395,SELFCARE 결,2023/01,34.0,2.0,0.5491176148255666
396,SELFCARE 결,2023/02,24.0,2.0,0.7914498432686454
397,SELFCARE 결,2023/03,55.0,3.0,0.6549017508824666
398,SELFCARE 결,2023/04,0.0,0.0,
399,SELFCARE 결,2023/05,0.0,0.0,
400,SELFCARE 결,2023/06,0.0,0.0,
401,SELFCARE 결,2023/07,21.0,2.0,0.7383661957110389
402,SELFCARE 결,2023/08,37.0,2.0,0.5314864855897319
403,So Young,2022/08,53.0,1.0,0.8638373374544233
404,So Young,2022/09,71.0,2.0,0.8196709515578157
405,So Young,2022/10,119.0,3.0,0.7781470879135539
406,So Young,2022/11,37.0,1.0,0.7405384869286509
407,So Young,2022/12,0.0,0.0,
408,So Young,2023/01,60.0,1.0,0.8555716986839588
409,So Young,2023/02,66.0,2.0,0.8348329984402472
410,So Young,2023/03,32.0,1.0,0.7917670001586278
411,So Young,2023/04,0.0,0.0,
412,So Young,2023/05,0.0,0.0,
413,So Young,2023/06,0.0,0.0,
414,So Young,2023/07,0.0,0.0,
415,So Young,2023/08,72.0,2.0,0.8070858343289449
416,SOLA솔아,2022/08,581.0,6.0,0.5935371971154308
417,SOLA솔아,2022/09,238.0,7.0,0.7343868587020389
418,SOLA솔아,2022/10,247.0,8.0,0.7379970467633028
419,SOLA솔아,2022/11,332.0,9.0,0.7106707837781421
420,SOLA솔아,2022/12,252.0,7.0,0.6120237710337336
421,SOLA솔아,2023/01,237.0,7.0,0.7003753790340245
422,SOLA솔아,2023/02,271.0,7.0,0.7199544556256353
423,SOLA솔아,2023/03,186.0,6.0,0.5617572119680502
424,SOLA솔아,2023/04,204.0,8.0,0.49348369843599804
425,SOLA솔아,2023/05,129.0,7.0,0.599912956792317
426,SOLA솔아,2023/06,129.0,7.0,0.614350852210167
427,SOLA솔아,2023/07,149.0,6.0,0.6786531762868422
428,SOLA솔아,2023/08,181.0,7.0,0.6926845669608903
429,SOONSIKI,2022/08,0.0,0.0,
430,SOONSIKI,2022/09,0.0,0.0,
431,SOONSIKI,2022/10,0.0,0.0,
432,SOONSIKI,2022/11,8.0,9.0,0.7343799670537313
433,SOONSIKI,2022/12,16.0,9.0,0.7140389733454761
434,SOONSIKI,2023/01,41.0,8.0,0.7515204486747583
435,SOONSIKI,2023/02,2.0,4.0,0.9240075349807739
436,SOONSIKI,2023/03,7.0,4.0,0.5710324690892146
437,SOONSIKI,2023/04,3.0,1.0,0.8892322580019633
438,SOONSIKI,2023/05,4.0,4.0,0.7635612338781357
439,SOONSIKI,2023/06,3.0,3.0,0.43107593059539795
440,SOONSIKI,2023/07,0.0,0.0,
441,SOONSIKI,2023/08,0.0,0.0,
442,SSUIMAG,2022/08,5.0,2.0,0.8651242591440678
443,SSUIMAG,2022/09,0.0,0.0,
444,SSUIMAG,2022/10,3.0,2.0,0.723099927107493
445,SSUIMAG,2022/11,4.0,1.0,0.9220736026763916
446,SSUIMAG,2022/12,0.0,0.0,
447,SSUIMAG,2023/01,0.0,0.0,
448,SSUIMAG,2023/02,0.0,0.0,
449,SSUIMAG,2023/03,0.0,0.0,
450,SSUIMAG,2023/04,0.0,0.0,
451,SSUIMAG,2023/05,0.0,0.0,
452,SSUIMAG,2023/06,0.0,0.0,
453,SSUIMAG,2023/07,0.0,0.0,
454,SSUIMAG,2023/08,0.0,0.0,
455,SUMINI,2022/08,0.0,0.0,
456,SUMINI,2022/09,0.0,0.0,
457,SUMINI,2022/10,0.0,0.0,
458,SUMINI,2022/11,0.0,0.0,
459,SUMINI,2022/12,0.0,0.0,
460,SUMINI,2023/01,0.0,0.0,
461,SUMINI,2023/02,9.0,1.0,0.7867925196886063
462,SUMINI,2023/03,0.0,0.0,
463,SUMINI,2023/04,0.0,0.0,
464,SUMINI,2023/05,0.0,0.0,
465,SUMINI,2023/06,0.0,0.0,
466,SUMINI,2023/07,0.0,0.0,
