,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
76,손이 걸레가 되도록 샴푸하고... 공장이나 다름없었죠ㅣ쌀롱토크 ep.17,https://www.youtube.com/watch?v=URnlXQ95pAw,1310,2021-02-15,0:14:42,
77,청담 두피케어를 받으면..이렇게 되나요?!ㅣ청담동네미용실 ep.21,https://www.youtube.com/watch?v=lcEpxtwlfEU,9402,2021-02-08,0:16:02,
78,내가 좋아하는 걸 모르면 절대로 커트를 잘 할 수 없어요ㅣ쌀롱토크 ep.16,https://www.youtube.com/watch?v=VFC_clPmkWA,1265,2021-02-01,0:17:13,
79,2021 패션 트렌드 훑어보기ㅣ청담동네미용실 ep.20 2부!,https://www.youtube.com/watch?v=MjZG5wEDUMw,1029,2021-01-25,0:14:40,
80,"왜 정액권 하는 방법, 매출하는 방법만 알려줬을까...ㅣ쌀롱토크 ep.15 2부",https://www.youtube.com/watch?v=1M93fxkT3EU,1755,2021-01-18,0:11:37,
81,"“새해지만 새해 같지 않아… 2021 청담동네미용실 첫 출근""ㅣ청담동네미용실 ep.20 1부!",https://www.youtube.com/watch?v=V4BTVi12RPc,1560,2021-01-11,0:11:44,
82,미용인들이 생각보다 컬러에 대한 이해도가 많이 떨어져요ㅣ쌀롱토크 ep.15 1부,https://www.youtube.com/watch?v=zpdOa4uidlY,3287,2021-01-04,0:12:00,
83,인턴 존버해서 초급디자이너 달면 행복할까???ㅣ청담동네미용실 ep.19,https://www.youtube.com/watch?v=R1y8foBmgeM,31923,2020-12-28,0:16:01,
84,예약 때문에 뉴욕에서 돌아왔는데... 고객이 안왔어요ㅣ쌀롱토크 ep.14,https://www.youtube.com/watch?v=0iXkRtBGuDw,5299,2020-12-21,0:16:44,
85,작은차이 인터뷰 끝난 뒤 비하인드 無편집ㅣ쌀롱토크 ep.13 3부 비하인드,https://www.youtube.com/watch?v=YuANzP6WQZU,1531,2020-12-15,0:20:55,
86,남자 헤어디자이너 vs 여자 헤어디자이너! 따져볼까요?!?!ㅣ청담동네미용실 ep.18,https://www.youtube.com/watch?v=B46TOr8xHC4,9445,2020-12-14,0:17:45,
87,"재밌거나 즐겁지 않다면, 과감하게 돌아서도 된다ㅣ쌀롱토크 ep.13 2부",https://www.youtube.com/watch?v=t43ZexyL7FA,1748,2020-12-07,0:13:38,
88,청담 살롱에 머리 하러 들어갈 때 부터 나갈 때 까지!ㅣ청담동네미용실 ep.17,https://www.youtube.com/watch?v=aXG5I7E9W0Q,10378,2020-11-30,0:16:52,
89,진로Q&A) 날 안써주면 어쩌지? 잡일만 시키면 어쩌지?ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어',https://www.youtube.com/watch?v=DiQ1y3zCnjI,1119,2020-11-26,0:04:40,
90,15년 이상 앙드레 김 패션쇼를 담당 하면서ㅣ쌀롱토크 ep.13 1부,https://www.youtube.com/watch?v=-gCQwK05NFw,5705,2020-11-23,0:15:51,
91,헤어Q&A) 머리숱 많아지고 볼륨도 생기는 마법~!ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어',https://www.youtube.com/watch?v=aXFVNB3DJa4,503,2020-11-19,0:03:48,
92,머리 기르다가 지금 딱 거지존이지? 지금이 바꿀 타이밍이야!ㅣ청담동네미용실 ep.16,https://www.youtube.com/watch?v=5l_q_hxlGyU,1653,2020-11-16,0:18:29,
93,"헤어Q&A) 붙임머리 종류별로 뭐가 다르냐면!, 샴푸할 때 빗질할 땐!!ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어'",https://www.youtube.com/watch?v=GK1QGblQ1RM,934,2020-11-12,0:04:27,
94,CL의 부채머리를 하게 된 썰?! 카운셀링의 달인 남 현 원장 2부!ㅣ쌀롱토크 ep.12 2부,https://www.youtube.com/watch?v=ryQj9Ta89eM,965,2020-11-09,0:16:17,
95,옷만 잘 입는다고 끝이 아니야! 올 가을 스타일링에 맞는 3가지 헤어&메이크업(Hair&Makeup)ㅣ청담동네미용실 ep.15,https://www.youtube.com/watch?v=-lyOS9Gs7tc,620,2020-11-02,0:19:23,
