,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
23,미리 연말 메이크업💝#투명 꾸안꾸 VS #블링영롱 꾸꾸꾸feat.고급스러운 피부표현|샨토끼,https://www.youtube.com/watch?v=z_1SCIPeMc0,56603,2022-11-26,0:10:58,
24,16kg빼고 14년째 유지어터😎 샨토끼다이어트 vlog 비건식편 | 샨토끼,https://www.youtube.com/watch?v=PUxS4ROh2Mc,17258,2022-11-19,0:11:27,
25,제발 홈쇼핑에 낚이지마세요❌️유명템 직접 사봄 | 샨토끼,https://www.youtube.com/watch?v=GxkexLM-q1U,29915,2022-11-06,0:10:11,
26,"가을/겨울 쭉 매일 입기좋은 맨투맨,스웻팬츠,니트,가디건💘간절기 패션 하울| 샨토끼",https://www.youtube.com/watch?v=jWU3P0Dibm8,12212,2022-10-22,0:07:26,
27,섬유유연제보다 지속력 훨 좋음🧸섬유탈취제 재구매템 4 |샨토끼,https://www.youtube.com/watch?v=KeaaYyo-s9c,73539,2022-10-15,0:08:37,
28,"원피스 6벌 전부 2만원!👗퀄리티 실화임?에이블리 쇼핑몰 추천&악세사리 매칭까지_ 데이트룩,하객룩,데일리룩 |샨토끼",https://www.youtube.com/watch?v=Tg88yz8mv7Y,15337,2022-10-07,0:11:05,
29,먹고 싶은거 다 먹고 살빠짐🍖단백질 쉐이크 종류별 4일 리뷰_유지어터 필수템/올리브영다이어트추천템(광고❌) | 샨토끼,https://www.youtube.com/watch?v=zYVNONUqn4U,48102,2022-09-24,0:09:00,
30,유럽쇼핑하울💸 면세점 딱 살것만 추천💄맨날 품절🙉 쟁여온 향수/바디로션(외국언니 향 너무 좋아서 따라삼 feat.유럽의 올리브영 DM쇼핑) |샨토끼,https://www.youtube.com/watch?v=RAnkppuPJAE,14892,2022-09-17,0:12:30,
31,하루에 -2kg? 올리브영 다이어트템 찐 실험 딥워터 푸룬 3일 리뷰 | 샨토끼,https://www.youtube.com/watch?v=pYla0yOvOQY,95950,2022-09-08,0:08:59,
32,뉴진스 메이크업💙올리브영 추천템들로 해봄💚애기 피부+ 뽀용한 복숭아 블러셔🍑 | 샨토끼,https://www.youtube.com/watch?v=tDprJu0IpI4,26900,2022-09-01,0:12:52,
33,GRWM :노브라 천국썰🫶🏻유럽 겟레디윗미/여행중 어이없었던 썰/챙겨가서 진짜 잘쓴템들/봄웜톤/봄웜라이트 데일리메이크업 |샨토끼,https://www.youtube.com/watch?v=HY2wn0Ah4lw,10306,2022-08-19,0:13:58,
34,공항 브이로그✈️ 라운지바 먹방 feat.술🍷🥃 인천공항 +두바이공항 | 샨토끼,https://www.youtube.com/watch?v=U3gCF56ssjo,4761,2022-08-07,0:05:29,
35,내 살냄새 향수 만들기😶‍🌫️ 남자들난리난 향수/성격따라 취향 저격 향수🍒 |샨토끼,https://www.youtube.com/watch?v=1_LpV8Nxt8E,8488,2022-07-30,0:04:45,
36,여리여리 과즙 탱글🫧물복숭아🍑 메이크업(봄웜톤/봄라이트/여름라이트 호환템 가득) |샨토끼,https://www.youtube.com/watch?v=OW0OqKoB4G8,17207,2022-07-23,0:08:19,
37,다이어트할때 몰래 챙겨먹는 영양제 꿀조합 모음💊(탈모/변비/입냄새/여성전용 유산균) |샨토끼,https://www.youtube.com/watch?v=2bqYQx4AmUs,10808,2022-07-16,0:05:59,
38,딱1주일! -3kg 샨토끼다이어트 🆕 급찐급빠편 ! 식단인데 너무 맛있어서 놀람 |샨토끼,https://www.youtube.com/watch?v=F2TMXgbsH6A,63525,2022-07-09,0:13:44,
39,섬유유연제 그렇게 쓰시면 안돼요❗️전문가가 알려주는 섬유유연제 향기 오래가는 법/향기증폭 꿀템/넣는타이밍/여름 빨래 냄새 제거 꿀팁 | 샨토끼 x 세탁설,https://www.youtube.com/watch?v=8VoutQFpqKc,149688,2022-07-03,0:10:33,
40,나는 그냥 파스텔톤 어울리는 사람?!🌈 퍼스널컬러 재진단😭+안어울리는 컬러 활용방법/피부밝기체크/눈동자컬러까지?! | 샨토끼,https://www.youtube.com/watch?v=AqJYRzo0Y7s,8921,2022-06-24,0:15:32,
41,선크림 종류별 리뷰/추천😎 바르는법까지🌞(올영1위템/쿠팡1위템/향기 좋은 바디선크림 /메이크업 잘먹는 선크림 /트러블 없는 선크림)|샨토끼,https://www.youtube.com/watch?v=udYU2v3NXcM,37653,2022-06-17,0:11:20,
42,집안 어디든 향기롭게🌹불붙여서 쓰는 강력한 디퓨져/캔들 꿀조합/호텔용 디퓨져 등 | 샨토끼,https://www.youtube.com/watch?v=JJC8NFUI42c,9325,2022-06-10,0:09:49,
43,관리의날 브이로그✨머릿결 좋아지는 염색 추천/홈케어 탄력관리기기/네일연장 | 샨토끼,https://www.youtube.com/watch?v=JCyH35WcSLk,46996,2022-06-03,0:11:11,
44,볼빨간 주목🥵자외선+촬영장 조명 무슨일이야..방송전 민감 피부 진정 노하우 알려드림 feat. 유리아쥬 마켓 | 샨토끼,https://www.youtube.com/watch?v=4QiPwFrjK-Q,24614,2022-05-27,0:06:20,
45,아이돌 연습생때 미친 다이어트썰🙄하..이건 이야기안할려고했는뎅..|샨토끼,https://www.youtube.com/watch?v=wWkOKlGHwxM,19386,2022-05-13,0:06:55,
46,2~5만원 이하 센스 터지는 선물추천 🛍 생일때 카톡선물 제발 이걸로 해주라..🎂|샨토끼,https://www.youtube.com/watch?v=p3JE2F2O-Zg,32647,2022-04-30,0:09:21,
47,"쿠팡으로 옷 사봤는데 왜 예쁜건데⁉️거기에 없으면 실생활 불가인 쿠팡 데일리 추천템 을 곁들인..(인테리어소품,입술각질템,손케어템,니트,반팔티,등 ) | 샨토끼",https://www.youtube.com/watch?v=_g1PZVN67Vs,24330,2022-04-23,0:11:29,
48,연예인이 cf 촬영전에 꼭 한다고?남몰래 예뻐지기 뷰티 디바이스 추천 feat.카사업 | 샨토끼,https://www.youtube.com/watch?v=-xxkteDemVw,20129,2022-04-16,0:13:17,
49,[산타마리아 노벨라 향수/바디로션 리뷰&추천] 살냄새 원조! 자연스러운 향기들 천지인 브랜드 | 샨토끼 향기 원브랜드,https://www.youtube.com/watch?v=5JYAq2RnYLM,60436,2022-04-02,0:11:24,
50,내장캠이 왜케 이쁘게 나와? 갤럭시북2프로💡뷰티크리에이터 작업환경 ⬆️삶의질 상승템( 신입생 노트북 추천)|샨토끼,https://www.youtube.com/watch?v=ZQ3nnY4mBwA,20550,2022-03-25,0:07:13,
51,[샨토끼 다이어트 QNA] 여러분이 제일 궁금했던..그 질문! 폭식 후 해결법?뱃살 빼기? |샨토끼,https://www.youtube.com/watch?v=npsUDaBaTL4,20890,2022-03-17,0:07:22,
52,망설이면 품절! 올영세일💚환절기 자기 관리를 위한 꿀템 추천 4 |샨토끼,https://www.youtube.com/watch?v=lmQZqUAensY,114312,2022-03-02,0:08:00,
53,"같이 잘 준비해요🌛자기전 꼭 챙기는 자기전향수,발각질템,헤어에센스,피부관리,입술관리|샨토끼",https://www.youtube.com/watch?v=sx8qU24OIjg,39860,2022-02-26,0:09:37,
54,생애 첫 💩검사! 다이어트 변비인들 쾌변기원! 내 장맞춤 유산균이 있대서 직접 만들어봄 | 샨토끼,https://www.youtube.com/watch?v=KqMXL86Blbo,31040,2022-02-18,0:07:53,
55,올해 유행템 같이 입어봐요✨2022 패션 트렌드 (feat.자라) | 샨토끼,https://www.youtube.com/watch?v=lStpcjzDLAE,15925,2022-01-30,0:10:52,
56,봄까지 쭉 입자! 자라 겨울 하울 (사면 뽕빼게 입을 데일리템💯) | 샨토끼,https://www.youtube.com/watch?v=AmbSK7i5E_w,21754,2022-01-21,0:07:58,
57,"가지고 나가기만 하면 ""언니,그거 뭐야?"" 다들 따라 사는 삶의 질 상승템⇡ 5가지! | 샨토끼",https://www.youtube.com/watch?v=3uSu2v0GsTA,36585,2022-01-14,0:08:53,
58,"[Vlog] 핫플만 쏙쏙 골라 다녀옴🌈2박3일 부산여행🌊바로 달려가는 맛집 (해운대 맛집,기장해녀촌,양곱창,데이트코스) | 샨토끼",https://www.youtube.com/watch?v=xlWQtVMw0bU,44180,2021-12-31,0:10:08,
59,셀카잘나옴🍒부산 여행 내~내 한 여행 메이크업 하루종일 안무너짐 🌊 | 샨토끼,https://www.youtube.com/watch?v=WLOlXtgc3KA,13277,2021-12-24,0:13:15,
60,"올겨울은 이거다☃️ 기모,융털,밍크,니삭스,속바지스타킹까지!겨울 기모 레깅스 비교/추천 | 샨토끼",https://www.youtube.com/watch?v=DyEpMo8uFHU,40058,2021-12-17,0:12:29,
61,향수보다 나은 섬유탈취제🧸추천&비교 (올리브영추천템/안아주고싶은향/침대까지뿌리는향 등)| 샨토끼,https://www.youtube.com/watch?v=9lmHOgkE4O8,105906,2021-12-09,0:11:28,
62,따라하면 무조건 피부좋아짐! 오돌토돌 화이트헤드/요철/각질 매끈해지는 방법! 인생템 추천!,https://www.youtube.com/watch?v=Aa7X5XwEeI8,72957,2021-11-27,0:08:27,
63,품절대란 샴푸?새치까지 염색이 된다고? 모다모다 샴푸 내돈내산 3주 리뷰(부작용/장단점) | 샨토끼 뷰티실험실,https://www.youtube.com/watch?v=bBx6Hn1XHoc,16071,2021-11-11,0:07:55,
64,속옷없이 집앞도 ok!편한데 예쁘기까지😍노브라 잠옷 추천/편한 잠옷 고르는 방법 | 샨토끼,https://www.youtube.com/watch?v=DZgknj40-nY,30924,2021-11-04,0:08:16,
65,키스를 부르는 입술💋자기전에 매일 바르는 입술 연고/컬러 립밤 추천 브랜드 | 샨토끼,https://www.youtube.com/watch?v=gPhHycc-oX0,46874,2021-10-23,0:10:48,
66,"연예인 파우치 속 향기 아이템 따라사봄(아이유,태연,조이,선미,티파니) | 샨토끼",https://www.youtube.com/watch?v=Jo0Z7rBS2Cw,37066,2021-10-15,0:10:52,
67,너한테 애기냄새나!살냄새 바디 로션&미스트 꿀조합! | 샨토끼,https://www.youtube.com/watch?v=Xo1uI5FfMAQ,104971,2021-10-08,0:05:38,
68,다이어트정체기💢5일만에 부숴버림(+화이자백신후기) | 샨토끼 다이어트 브이로그,https://www.youtube.com/watch?v=32K3xj9xuQ4,20125,2021-09-24,0:06:27,
69,"칵테일은 이름이 야할수록 맛있다고?+홈칵테일 꿀팁,칵테일추천&리뷰 | 샨토끼 주토끼야",https://www.youtube.com/watch?v=lAef9PZ1n5w,33439,2021-09-08,0:13:08,
70,이거 없으면 방송못함! 실제 방송용 파우치 대공개 | 샨토끼,https://www.youtube.com/watch?v=IafxsZ9snxs,88819,2021-08-28,0:10:04,
71,비싼값할까? ~계의 에르메스/샤넬 아이템 추천&리뷰 | 샨토끼,https://www.youtube.com/watch?v=c4qnvfQ8WpQ,12748,2021-08-14,0:12:48,
72,"[조말론 향수 리뷰&추천] 요즘 시향 안되니까,직접 사서 자세하게 맡아 드림🌸 | 샨토끼 향기 원브랜드 리뷰",https://www.youtube.com/watch?v=xAkzvI8NTbY,169100,2021-08-06,0:11:46,
73,"이거 안쓰는 승무원 없다고? 현직 승무원 파우치템 리뷰 (향기템,애교살글리터,입냄새템,틴트,블러셔 등) | 샨토끼",https://www.youtube.com/watch?v=P6zEJ_woUs0,61311,2021-07-23,0:11:59,
74,n번째 재구매🤭쿠팡밀키트 추천템🤔 (삶의질 올라가는 10분 요리들 추천)| 샨토끼 다이어트 vlog,https://www.youtube.com/watch?v=BYXdOLWMLSA,20101,2021-07-10,0:09:39,
75,"[내돈내산 팩폭리뷰] 초신상 여름 매트커버 쿠션 4가지 리뷰(클리오,헤라,잉가,문샷) +마스크 묻어남 테스트 | 샨토끼",https://www.youtube.com/watch?v=g8PNCAUGOdI,24065,2021-07-02,0:17:46,
76,이게 0칼로리라고? 샨토끼 다이어트 요요방지 간식 추천(feat. 아이허브 추천템)| 샨토끼,https://www.youtube.com/watch?v=IbQQq_yZ-_Y,140061,2021-06-18,0:16:57,
77,몇 년째 매일 쓰고 있는 주방용품 꿀템 6 (❎노광고)| 샨토끼,https://www.youtube.com/watch?v=tmQeUl9KYSM,12977,2021-06-11,0:06:18,
78,의외로 살 안찌는 다이어트 배달음식 8가지 추천 | 샨토끼 다이어트,https://www.youtube.com/watch?v=QqHB9Jd0tRY,87756,2021-05-29,0:06:34,
79,"세안만으로 피부가 좋아진다고? 간증글 폭발한 1분 세안법 따라해봄 (블랙헤드,화이트헤드,각질이 사라진다는 세안법) | 샨토끼 뷰티실험실",https://www.youtube.com/watch?v=qrjbWmu1TBM,15593,2021-05-21,0:07:52,
80,16kg빼고 12년 유지중! [샨토끼 다이어트 브이로그] 간식이랑 술까지 마셨던 다이어트편! | 샨토끼,https://www.youtube.com/watch?v=5AqL7__BuH0,95221,2021-05-08,0:13:15,
81,생일 선물 택배 언박싱🎁뭐가 왔을까 같이 뜯어보아용💗 | 샨토끼,https://www.youtube.com/watch?v=a5InU67v2QM,16150,2021-04-30,0:13:52,
82,정말 좋을까? 백화점 1등템! 파헤치기 '에스티로더 갈색병'편+이벤트있어요!💜 | 샨토끼,https://www.youtube.com/watch?v=gx9nD6thizM,245260,2021-04-24,0:09:39,
83,"자라 봄 신상 하울 2021 (가디건,맨투맨,블라우스 등) |샨토끼",https://www.youtube.com/watch?v=kEfH8Cy2FG0,53599,2021-04-16,0:11:32,
84,연예인향기?! 향수보다 나은 살냄새💋 바디로션 4가지 추천 | 샨토끼,https://www.youtube.com/watch?v=JEyaUz02xig,425675,2021-04-09,0:10:54,
85,올리브영 딱 하나 추천템! #세럼 에센스편 | 샨토끼 김사은,https://www.youtube.com/watch?v=Q1BcpYaOn7g,27479,2021-04-02,0:11:35,
86,안가면 후회할껄?!☺ 속초 여행가면 꼭 가야하는 현지인 맛집 Vlog (+숙소추천 )| 샨토끼 샨앤리우,https://www.youtube.com/watch?v=x6KeAirrPFA,17858,2021-03-19,0:18:29,
87,쟁여놓고쓰는! 삶의질 수직상승! 생활 꿀템 7가지 #생활용품편  |샨토끼 김사은,https://www.youtube.com/watch?v=A3X3Z6F_Gdc,30603,2021-02-19,0:12:51,
88,"샨토끼 다이어트Vlog 일주일동안 아침에 먹은 것들 feat.서브웨이,마켓컬리,편의점 | 샨토끼",https://www.youtube.com/watch?v=HqDr_vjd_k4,56469,2021-01-29,0:13:33,
89,입 밖으로 꺼내기 힘들었던 이야기들 Q&A 질문/답변 |샨토끼 김사은 미스트롯2,https://www.youtube.com/watch?v=uvL6z71uDtk,148726,2021-01-01,0:13:10,
90,종아리부터 팔뚝까지! 매일하면 확 달라지는 다이어트 셀프 마사지 | 샨토끼 김사은 다이어트,https://www.youtube.com/watch?v=XOO3NS_feOg,20022,2020-12-16,0:15:47,
91,입소문난 커피샴푸☕ 탈모예방+머릿결대박?정말 좋을까?직접 만들어서 써봄 | 샨토끼 김사은,https://www.youtube.com/watch?v=IJw2gI3PuYo,216136,2020-10-31,0:09:06,
92,집콕 뷰티🌸 관리의 날 브이로그(피부과 다녀와서 강제 요양 당함😢)| 샨토끼 김사은,https://www.youtube.com/watch?v=w0D10yF6DME,20926,2020-10-16,0:22:42,
93,"품절대란! 가을 신상 쿠션 4가지 리뷰(헤라,클리오,정샘물,라네즈)  | 샨토끼 김사은",https://www.youtube.com/watch?v=7079Ztm0S-c,60406,2020-10-01,0:13:39,
94,"초간단👍살이 저절로 빠지는 습관(떡볶이먹는법,밥에 넣는 그것?!) | 샨토끼 김사은 다이어트",https://www.youtube.com/watch?v=jRfZ0x56deE,92370,2020-09-25,0:07:00,
95,"진짜 요즘 맨날 들고 다니는 가방들👜(덱케,가을신상,미니백,포인트백)| 샨토끼 김사은",https://www.youtube.com/watch?v=ugQTnpDLsdI,33996,2020-09-15,0:13:55,
96,안빠질수가 없다! 샨토끼 다이어트 스무디 Vlog (일주일에 -3kg!) | 샨토끼 김사은,https://www.youtube.com/watch?v=-6CNjXAYhiA,108869,2020-09-03,0:11:38,
97,더러운 화장대 같이 정리해봐요.4시간 걸림🤯(매일쓰는 제품만 남겨두기 미션!)| 샨토끼 김사은,https://www.youtube.com/watch?v=FRdHe2I1hxM,50119,2020-08-20,0:10:59,
98,따라입기 쉬운 자라 룩북 +가방 코디 꿀팁👜| 샨토끼 김사은,https://www.youtube.com/watch?v=MUdvoe7S8V4,23243,2020-08-14,0:07:02,
99,올리브영 바디용품 추천템5 (가방 속 필수템)| 샨토끼 김사은,https://www.youtube.com/watch?v=pa_ecMXZB_A,34714,2020-07-31,0:11:02,
100,"존똑주의💗연예인 인스타 스타일링따라사기(원피스,블라우스,악세사리) |샨토끼 김사은",https://www.youtube.com/watch?v=usT2hQWtKAk,45130,2020-07-17,0:12:32,
101,10년된 명품 가방 팔면 얼마받을까?(+중고 샤넬 사옴💛)| 샨토끼 김사은,https://www.youtube.com/watch?v=60-rqwzHrw0,97958,2020-07-10,0:11:15,
102,오늘 뭐 뿌렸어?섬유유연제 6종 추천&비교/향기 오래가는 방법 | 샨토끼 김사은,https://www.youtube.com/watch?v=Y83rlhXEnto,296951,2020-07-03,0:11:18,
103,"먹었는데 왜 빠져?의외로 살 안찌는 음식 12(아이돌식단?! 밖에서 시켜먹기 좋은것,정체기식단) | 샨토끼 김사은 다이어트",https://www.youtube.com/watch?v=4nwEOTLzCTk,176810,2020-06-26,0:10:03,
104,"이건 꼭 먹어야댐! 편의점 안주 꿀조합(GS25,CU 추천템) | 샨토끼 김사은 주토끼야",https://www.youtube.com/watch?v=M2pKOeNENgk,143580,2020-06-19,0:10:28,
105,연예인 향수 4종 리뷰(아리아나 그란데 향수편) | 샨토끼 김사은,https://www.youtube.com/watch?v=eikdDCu2q18,135501,2020-06-12,0:10:56,
106,원피스 득템! 미쏘 원브랜드 쇼핑몰 하울 | 샨토끼 김사은,https://www.youtube.com/watch?v=xvKy0jrEYzg,60967,2020-06-05,0:12:55,
107,화해 어플 1위 제품으로만 메이크업 | 샨토끼 김사은,https://www.youtube.com/watch?v=nJrJA-z3oXg,37360,2020-05-29,0:16:30,
108,올리브영 재구매 2통이상! 추천템 5 | 샨토끼 김사은,https://www.youtube.com/watch?v=OHUMjDERRtg,190994,2020-05-22,0:12:48,
109,"H&M 에첸엠 봄/여름 신상 하울 (블라우스,원피스) | 샨토끼 김사은",https://www.youtube.com/watch?v=CLOWUkG_JUs,79537,2020-05-15,0:14:50,
110,10초에 1개씩 팔리는 에센스? 과연..좋을까? | 샨토끼 김사은,https://www.youtube.com/watch?v=-B66JWctVg4,46759,2020-05-08,0:07:07,
111,"샨토끼 다이어트 실패해결 Q&A(계란질릴때,요요,유지식,폭식,변비,대체품 등) | 샨토끼 김사은",https://www.youtube.com/watch?v=ctz9pct3T0c,225566,2020-05-01,0:11:16,
112,가볍고 수납짱! 10만원대 데일리 가방 추천 5 | 샨토끼 김사은,https://www.youtube.com/watch?v=8qS-6Ed5IDE,75057,2020-04-24,0:14:20,
113,"향수 뭐쓰냐고 맨날 물어봄!향기 추천템 6가지!(향수,바디로션,헤어퍼퓸,바디워시) | 샨토끼 김사은",https://www.youtube.com/watch?v=_rCu0nSXjP4,269883,2020-04-17,0:12:02,
114,"+4cm키커보이고,날씬해 보이는 옷 추천! (커먼유니크,크림치즈마켓 등) | 샨토끼 김사은",https://www.youtube.com/watch?v=EKw6cNKVrzA,58759,2020-04-10,0:10:44,
115,"마스크에 안묻는 레드립 메이크업 (베이스 안무너지는 법, 틴트 오래가는법) | 샨토끼 김사은",https://www.youtube.com/watch?v=M_fZ_K5iSrU,41537,2020-04-03,0:10:47,
116,"No시술!광나는 피부 만드는 홈케어 방법! (올리브영템,쟁이고 쓰는 아이템들 추천) | 샨토끼 샨앤리우",https://www.youtube.com/watch?v=JepgpRdVVqI,50842,2020-03-27,0:12:07,
117,보이면 사세요! 자라 봄 신상 원피스 5벌 하울 | 샨토끼 김사은,https://www.youtube.com/watch?v=AJkyCbdhlfI,114675,2020-03-13,0:13:43,
118,에뛰드하우스 1등 제품으로만 메이크업하기 | 샨토끼 김사은,https://www.youtube.com/watch?v=3I48DB9vd58,34868,2020-03-05,0:18:27,
119,"품절대란! 세미매트 쿠션 4종 리뷰 (에뛰드하우스,투쿨포스쿨,롬앤,문샷) | 샨토끼 김사은",https://www.youtube.com/watch?v=LZboPan0b_A,137718,2020-02-27,0:12:28,
120,샨토끼 다이어트 한식 집밥편+꼭 챙겨먹는 것들 [다이어트 브이로그]  | 샨토끼 김사은,https://www.youtube.com/watch?v=vrp2X2JGn8A,110162,2020-02-21,0:15:33,
121,"연예인이 입은 그옷?! 커먼유니크 쇼핑몰 하울(원피스,블라우스) | 샨토끼 김사은",https://www.youtube.com/watch?v=bbeHN_xnxos,122924,2020-02-14,0:11:42,
122,세포라 1위 제품으로만 메이크업하기 | 샨토끼 김사은,https://www.youtube.com/watch?v=4eJYpWPOZR8,82213,2020-02-07,0:15:15,
123,"자주 입는 레깅스 6가지 리얼 비교&리뷰 (젝시믹스,뮬라웨어,룰루레몬..등) | 샨토끼 김사은",https://www.youtube.com/watch?v=1TXwrotN-SQ,107776,2020-01-31,0:12:42,
124,깐달걀같이 화사한 승무원 메이크업 | 샨토끼 김사은,https://www.youtube.com/watch?v=wbfL3J3gWTQ,136397,2020-01-24,0:16:46,
125,"속는셈치고사본! 인스타,페이스북 광고템 리뷰 | 샨토끼 김사은",https://www.youtube.com/watch?v=wW04QKUQJts,134336,2020-01-17,0:12:56,
126,"아우터안에 쏙! 얼굴이 확 사는 니트,블라우스 하울 7 |샨토끼 김사은",https://www.youtube.com/watch?v=QpZmbs6wPHA,65201,2020-01-03,0:15:24,
127,"매일 쓰는 피부 관리템 추천 5(토너,에센스,크림,베이스,팩) | 샨토끼 김사은",https://www.youtube.com/watch?v=ZauZdj4oMkE,36101,2019-12-21,0:08:12,
128,"이 영상보면 어느새 와인 전문가됨🍷 (저렴와인추천,와인따는법,와인안주등)  | 샨토끼 김사은 주토끼야",https://www.youtube.com/watch?v=cd1WO9Jk9UA,27303,2019-12-13,0:18:04,
129,"자라 겨울 신상 80만원 하울 (아우터,원피스,니트) | 샨토끼 김사은",https://www.youtube.com/watch?v=23D1q4tIkDs,155707,2019-12-06,0:16:05,
130,올리브영 1위 제품으로만 메이크업 | 샨토끼 김사은,https://www.youtube.com/watch?v=AssiD-KYWLE,294677,2019-11-29,0:18:33,
