labeling,index,youtube_id,comment,like_num,comment_date
1,11,userdm3oz8zf2k,"흑흑 샌언니 넘 에뻐ㅠ ㅜ 
어제 올리브영에서 클렌징밤 구매햇습니닷 히히",1,3개월 전
1,12,floridasun312,"머리 다행이에요.. 금발진짜 잘어울리새요,,",2,3개월 전
1,13,zajn9vd,"진짜 여름 ㅠㅠ 등드름,가드름 스트레스 알라딘필링 아프다해서 겁나는데 그래도 해야겠어유??",2,3개월 전
1,14,userzy6kd2hj9q,새은님 브이로그를 재미있게 볼게요,2,3개월 전
1,15,yy1667,"언니 마지막에 입고있는 청바지가 너무 이뻐보여용ㅠㅠ
혹시 사이즈가 몇일까요??",2,3개월 전
1,16,gangmi,온니 항상 영상에 나오는 악세사리 옷 정보 궁금해서 그러는데 정보 잌ㅅ는 옷이나 란경 그런거 알려주면 안될까용!!>?,0,3개월 전
1,17,useryk4lx2ph9h,허걱!! 안경 정보 궁금해요오오,4,3개월 전
1,18,catnotting,생얼도 존예…. 미쳤네,1,3개월 전
1,19,paleblusher,안경 궁그매요,0,3개월 전
1,20,yeonjisom,갸아악 벌써 세번째 보는중..  내 맘 속 일등.,3,3개월 전
1,21,kwayeu,안녕하세요 새은님 저 영상 보고 팬 되려 합니다 나중에 팬미팅 했으면 좋겠네요,0,1개월 전
1,22,xbbheon2210,네일받을 때 반지 어디껌지 알 수 잇을까용 언니가 끼니까 존예인걸까..,2,3개월 전
1,23,gunheekim7633,언닝 집에서 입으신 착장 정보 궁금해여!!,3,3개월 전
1,24,userhu8fr2mh5x,안녕하세용 혹시 마지막에 입으신 바지 사이즈 몇으로 하셨는지 알 수 있을까요??? 새은님 넘예ㅠㅠ??,3,3개월 전
1,25,usergj7gj7lg1i,"제품 소개 때 입으신 바지 어디건가용,, 9:34",2,3개월 전
1,26,userde6rq9th6m,1:18 속눈썹 펌 하러 가실 때 입은 바지 오디껀가요 ?!!,0,2개월 전
1,27,userpv7xd6qq6x,언니 꽃 포장할때 입은 흰색티 정보부탁드려요,2,3개월 전
1,28,userdg5il2pp7k,언니진짜 인생머리에여 너무이쁘세요 환해보이고너무이뻐요진쨔ㅠㅠ 외국언니가타용,2,3개월 전
1,29,usercn1vb2uj1l,언니 꽃시장 갔다와서 꽃만지는 부분 흰반팔 어디껄까요 !?!,1,3개월 전
1,30,userxs1lb3hg6b,엉니 화이트조거 정보 알수있나용...?,0,1개월 전
1,31,uservv1bh8wx8e,옹닝 스트라이프 셔츠 정보 알려주세요??,3,3개월 전
1,32,userhb3lr6hg7i,"필링 어디서 하시는지 여쭤봐도되나요ㅠㅠㅠ 목뒤랑 등드름때문에 머리도 못묶네요 ,,, ㅠㅠㅠㅠ",2,3개월 전
1,33,useruw2nh9np6x,투명 장스탠드 어디제품인지 알려주세효 ㅜㅜ새은님,2,3개월 전
1,34,nojytw,안경은 어디껀가요????,1,3개월 전
1,35,useryo4le9dz7b,13:43 초부터 나오는 노래 뭔지 알려주세용 ㅜㅜㅜ,0,3개월 전
1,36,zzanghoo,언니 퓨마 가방 제품명 알 수 있을까용? ????,2,3개월 전
1,37,isncibxksk6129,안경 궁금해용 ,0,3개월 전
,38,userjm4mk3br6f,i need english subtitles ,0,3개월 전
1,39,userxw8ow6hc4m,안경 어디꺼에용?,0,2개월 전
,40,ball9carrot933,15:43 個のチ?クかわいい,0,3개월 전
1,41,userhb7ro2oe3l,언니 파란 셔츠 어디 거예여??????,0,3개월 전
1,42,userbw5xf8pi1o,혹시 14:05 에 입고 계신 청바지 어디 건지 알 수 있을까용 !!!,7,3개월 전
1,43,usernw4qd6zv6o,언니 안경...안경어디꺼에여ㅜㅜㅜㅜ,13,3개월 전
1,44,jhjh2017,퓨마 신발 정보 알려쥬세우??,1,3개월 전
1,45,SONto4ip,안녕하새은 Saeeun님 아주예쁘군요.,4,3개월 전
1,46,nanichoofficial,꽃ㅠㅠ??????,0,3개월 전
1,47,idjia99,00:39 바지 정보좀요????,0,3개월 전
0,48,usersu7wf9eb7o,1빠 !!,0,3개월 전
,49,pekkatoyryla830,Have you newer wisit land of the midnigt sun finland...,0,3개월 전
1,50,userms1ed9bn3k,마지막에입은 흰색반팔 어디서삿오요?,2,3개월 전
1,51,usergw9fd1sv6i,언니 인형겉아요…,0,3개월 전
