,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
13,광고❌ 아는 사람만 조용히🤫 사서 쓰는 뷰티템 추천 2탄🔥(방송 피부 필살기템/얼굴땀케어템/청담샵트리트먼트/태닝꿀템) | 샨토끼,https://www.youtube.com/watch?v=3FxF9PWdNX4,34480,2023-04-15,0:10:47,1020
14,넌 술 마시는데 왜 살 안 쪙?🍻 다이어트 때 술 마시는 비법 & 습관 싹 알려드림 | 샨토끼,https://www.youtube.com/watch?v=3eWWN2SxhRE,6968,2023-03-31,0:05:25,159
15,부산 가기 전에 보고 가세요! 단골 부산 맛집 먹방 브이로그 (해운대 주변 맛집/휴게소부터 디저트까지 풀코스! ) |샨토끼,https://www.youtube.com/watch?v=9c-3tSRFqlg,18116,2023-03-17,0:06:39,508
16,부산 2박3일 같이 짐싸요! 찐템만 가져가는 10분컷 짐싸기!  Feat. 여행 필수템 |샨토끼,https://www.youtube.com/watch?v=jDD5oBZYRRc,19544,2023-03-04,0:07:46,181
17,No광고❌아는 사람들만 조용히🤫사서 쓰는 뷰티템 추천 1탄 (쿠팡구매가능/트리트먼트 까먹는 샴푸/베이스격이 달라지는 스펀지/갈색병 울다가는 세럼/하루종일 정수리상쾌템)|샨토끼,https://www.youtube.com/watch?v=ShIaWEPfC-8,80491,2023-02-18,0:09:29,1304
18,대체불가 애교살템✨초 자연스러운 애교살 데일리템들! 찐으로 5년 내내 이거만 씀(애교살 섀도우/펜슬/글리터/컨실러)  |샨토끼,https://www.youtube.com/watch?v=TDpvBExTiis,19322,2023-02-03,0:08:05,371
19,쿠션 사기전 필수🫶🏻촉촉 쿠션🫧팩폭 리뷰&비교(롬앤/퓌/클리오/에스쁘아) | 샨토끼,https://www.youtube.com/watch?v=T87SxXGWi00,35891,2023-01-21,0:10:23,376
20,바디로션+향수 꿀조합 추천🍯 향기 지속력 높여주는 마법 제품/요즘 최애향수/향기별 조합하는 방법까지💝 | 샨토끼,https://www.youtube.com/watch?v=1z7xOvovke0,15015,2023-01-07,0:08:54,432
21,핫한 신상템❤️‍🔥글리터맛집&입술필러립밤 발견🎄(롬앤워터쿠션/어뮤즈 봄웜필수 팔레트/멜팅 립밤 등)|샨토끼,https://www.youtube.com/watch?v=yiux39rb3Io,15892,2022-12-23,0:11:52,225
22,🎄흔한거❌ 고급진 연말/크리스마스 선물 꿀조합 best🎁10~30만원대 에르메스 선물?! | 샨토끼,https://www.youtube.com/watch?v=FkZ2JrtgMGA,11442,2022-12-09,0:09:03,207
23,미리 연말 메이크업💝#투명 꾸안꾸 VS #블링영롱 꾸꾸꾸feat.고급스러운 피부표현|샨토끼,https://www.youtube.com/watch?v=z_1SCIPeMc0,56604,2022-11-26,0:10:58,424
24,16kg빼고 14년째 유지어터😎 샨토끼다이어트 vlog 비건식편 | 샨토끼,https://www.youtube.com/watch?v=PUxS4ROh2Mc,17260,2022-11-19,0:11:27,279
25,제발 홈쇼핑에 낚이지마세요❌️유명템 직접 사봄 | 샨토끼,https://www.youtube.com/watch?v=GxkexLM-q1U,29944,2022-11-06,0:10:11,268
26,"가을/겨울 쭉 매일 입기좋은 맨투맨,스웻팬츠,니트,가디건💘간절기 패션 하울| 샨토끼",https://www.youtube.com/watch?v=jWU3P0Dibm8,12216,2022-10-22,0:07:26,153
27,섬유유연제보다 지속력 훨 좋음🧸섬유탈취제 재구매템 4 |샨토끼,https://www.youtube.com/watch?v=KeaaYyo-s9c,73658,2022-10-15,0:08:37,977
28,"원피스 6벌 전부 2만원!👗퀄리티 실화임?에이블리 쇼핑몰 추천&악세사리 매칭까지_ 데이트룩,하객룩,데일리룩 |샨토끼",https://www.youtube.com/watch?v=Tg88yz8mv7Y,15337,2022-10-07,0:11:05,200
29,먹고 싶은거 다 먹고 살빠짐🍖단백질 쉐이크 종류별 4일 리뷰_유지어터 필수템/올리브영다이어트추천템(광고❌) | 샨토끼,https://www.youtube.com/watch?v=zYVNONUqn4U,48127,2022-09-24,0:09:00,310
30,유럽쇼핑하울💸 면세점 딱 살것만 추천💄맨날 품절🙉 쟁여온 향수/바디로션(외국언니 향 너무 좋아서 따라삼 feat.유럽의 올리브영 DM쇼핑) |샨토끼,https://www.youtube.com/watch?v=RAnkppuPJAE,14901,2022-09-17,0:12:30,220
31,하루에 -2kg? 올리브영 다이어트템 찐 실험 딥워터 푸룬 3일 리뷰 | 샨토끼,https://www.youtube.com/watch?v=pYla0yOvOQY,96055,2022-09-08,0:08:59,507
32,뉴진스 메이크업💙올리브영 추천템들로 해봄💚애기 피부+ 뽀용한 복숭아 블러셔🍑 | 샨토끼,https://www.youtube.com/watch?v=tDprJu0IpI4,26901,2022-09-01,0:12:52,197
33,GRWM :노브라 천국썰🫶🏻유럽 겟레디윗미/여행중 어이없었던 썰/챙겨가서 진짜 잘쓴템들/봄웜톤/봄웜라이트 데일리메이크업 |샨토끼,https://www.youtube.com/watch?v=HY2wn0Ah4lw,10306,2022-08-19,0:13:58,158
34,공항 브이로그✈️ 라운지바 먹방 feat.술🍷🥃 인천공항 +두바이공항 | 샨토끼,https://www.youtube.com/watch?v=U3gCF56ssjo,4762,2022-08-07,0:05:29,94
